Pct_Delta,PCT_Change,M_P_LTV,M_P_STR,M_P_YOT,M_P_CIN,M_P_DIS,M_P_SEM,M_P_Paid_Social,M_P_DCI,M_P_DRD,M_P_LRD,TlncT_P_LTV,TlncT_P_STR,TlncT_P_YOT,TlncT_P_CIN,TlncT_P_DIS,TlncT_P_SEM,TlncT_P_Paid_Social,TlncT_P_DCI,TlncT_P_DRD,TlncT_P_LRD,CPT_P_LTV,CPT_P_STR,CPT_P_YOT,CPT_P_CIN,CPT_P_DIS,CPT_P_SEM,CPT_P_Paid_Social,CPT_P_DCI,CPT_P_DRD,CPT_P_LRD,MCPT_P_LTV,MCPT_P_STR,MCPT_P_YOT,MCPT_P_CIN,MCPT_P_DIS,MCPT_P_SEM,MCPT_P_Paid_Social,MCPT_P_DCI,MCPT_P_DRD,MCPT_P_LRD,nMCPT_P_LTV,nMCPT_P_STR,nMCPT_P_YOT,nMCPT_P_CIN,nMCPT_P_DIS,nMCPT_P_SEM,nMCPT_P_Paid_Social,nMCPT_P_DCI,nMCPT_P_DRD,nMCPT_P_LRD,nMTIncT_P_LTV,nMTIncT_P_STR,nMTIncT_P_YOT,nMTIncT_P_CIN,nMTIncT_P_DIS,nMTIncT_P_SEM,nMTIncT_P_Paid_Social,nMTIncT_P_DCI,nMTIncT_P_DRD,nMTIncT_P_LRD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,2535.54312,4269.303948,1063.483519,726.4033879,5156.013538,2511.594303,5144.527079,238.6043149,1387.108227,422.40325,11796.57111,14543.93833,3028.903891,2757.064155,11919.27064,12586.72194,12003.46885,711.7119259,4980.917652,1837.720025,0.214938993,0.293545245,0.351111675,0.263469889,0.43257794,0.199543163,0.428586698,0.335254063,0.278484473,0.229851797,0.214938993,0.293545245,0.351111675,0.263469889,0.43257794,0.199543163,1.670375926,0.335254063,0.278484473,0.229851797,0.822012807,1.032313383,1.077342975,0.924090883,1.311983578,0.748075365,1.301011322,1.082235489,1.001053107,0.832902761,616.9108558,827.1333137,197.4271043,157.2147072,785.9875112,671.4816237,790.85047,44.09471273,277.1297979,101.4291872
0.5,0.2,5071.08624,8538.607896,2126.967038,1452.806776,10312.02708,5023.188605,10289.05416,477.2086298,2774.216453,844.8065,14135.27622,17711.456,3795.632379,3358.169953,14976.72521,15140.01549,15083.3307,882.1300056,6041.117975,2224.242256,0.358753954,0.482095198,0.560372245,0.432618598,0.688536842,0.331782263,0.682147356,0.54097313,0.45922236,0.379817665,1.084165383,1.347839032,1.38704057,1.208445153,1.686374537,0.983668447,2.377777859,1.40011151,1.30834541,1.092830414,1.37185836,1.689593575,1.716772765,1.517203835,2.084135441,1.241155504,2.062097665,1.740460563,1.641492194,1.376240815,739.3017223,1010.72921,247.7866706,191.5110867,989.573602,809.4374295,997.9211297,54.83705173,338.0115317,122.7701563
0.333333333,0.3,7606.62936,12807.91184,3190.450558,2179.210164,15468.04061,7534.782908,15433.58124,715.8129447,4161.32468,1267.20975,15712.90551,19881.38825,4331.916579,3768.87933,17120.56065,16870.54386,17246.91678,1000.494234,6766.442984,2487.021178,0.484100751,0.644216172,0.736498614,0.57821171,0.903477458,0.446623593,0.894860307,0.71545934,0.61499442,0.509529135,1.607185627,1.967482601,1.98305958,1.768655472,2.405041654,1.451345351,2.983150808,2.015848177,1.912395422,1.607447228,1.851051805,2.253278916,2.254320157,2.027678592,2.731535154,1.668629154,2.698586987,2.297222157,2.191115733,1.84617318,821.8710399,1136.824363,283.0521253,214.9463107,1132.552923,903.110543,1143.826848,62.31987119,379.8361372,137.2796186
0.25,0.4,10142.17248,17077.21579,4253.934077,2905.613552,20624.05415,10046.37721,20578.10832,954.4172596,5548.432907,1689.613,16937.99561,21583.38444,4758.11184,4090.415208,18827.07503,18218.58756,18971.44477,1094.155564,7334.944431,2692.092691,0.59878233,0.79122048,0.89403827,0.710346848,1.095446537,0.55143557,1.084688518,0.872286621,0.756438301,0.627620663,2.069678896,2.508409819,2.495296441,2.259167448,3.021371284,1.863140113,3.528916112,2.547522197,2.439937899,2.05978512,2.289447327,2.763555765,2.73477525,2.490942943,3.309161279,2.058334132,3.265470144,2.79674094,2.688821833,2.27399445,885.9930831,1235.887186,311.0993546,233.294268,1246.48226,976.1658277,1260.345825,68.25210344,412.7036488,148.6030891
0.2,0.5,12677.7156,21346.51974,5317.417596,3632.01694,25780.06769,12557.97151,25722.6354,1193.021574,6935.541133,2112.01625,17953.69794,23005.10519,5117.57637,4358.60176,20268.15327,19338.89789,20429.26551,1172.906683,7809.605456,2862.737324,0.706133947,0.927903592,1.039049974,0.833298645,1.271949513,0.64936335,1.259107205,1.017149609,0.8880783,0.737761104,2.496344685,3.002913168,2.958521443,2.708574989,3.577885906,2.24187374,4.033425783,3.029852994,2.922313302,2.475338611,2.69980479,3.237423781,3.176774964,2.921993673,3.839851986,2.422138465,3.785572035,3.257533478,3.151096138,2.673001479,939.1579456,1318.734969,334.7682889,248.5985492,1342.763616,1036.932586,1358.982746,73.2469264,440.1986376,158.0258198
0.166666667,0.6,15213.25872,25615.82369,6380.901115,4358.420328,30936.08123,15069.56582,30867.16248,1431.625889,8322.64936,2534.4195,18828.66854,24237.23386,5431.494352,4590.734956,21527.87522,20305.85337,21704.73885,1241.512961,8220.831124,3010.165925,0.807983777,1.056879008,1.174796603,0.949394894,1.437024365,0.742129155,1.422139316,1.153130039,1.012385394,0.841953422,2.897860954,3.464982224,3.38777509,3.129252516,4.092977453,2.597424949,4.506870391,3.477878704,3.373107119,2.865137758,3.089118011,3.684134398,3.590349683,3.328997109,4.3358846,2.766535457,4.27115495,3.68960718,3.586920973,3.050453328,984.9580797,1390.602021,355.4473341,261.8458464,1426.978994,1089.417869,1445.377788,77.60316043,464.0553513,166.1667449
0.142857143,0.7,17748.80184,29885.12764,7444.384635,5084.823716,36092.09476,17581.16012,36011.68956,1670.230204,9709.757587,2956.82275,19601.6534,25331.24666,5711.992184,4796.625432,22654.41463,21161.50021,22846.22433,1302.693991,8585.868455,3140.724963,0.905474731,1.179773267,1.30329041,1.06008355,1.59315945,0.830808778,1.576264377,1.282135495,1.130899878,0.941445935,3.280197633,3.902425941,3.791414396,3.528105834,4.576860345,2.935316547,4.955681629,3.899972217,3.799907869,3.23534285,3.46175913,4.109439014,3.981682276,3.717032775,4.804820234,3.095578565,4.729766611,4.099150314,4.001885249,3.410874022,1025.420959,1454.462642,373.9316258,273.5958504,1502.32862,1135.888478,1522.768141,81.49153246,485.2591707,173.3762508
0.125,0.8,20284.34496,34154.43159,8507.868154,5811.227104,41248.1083,20092.75442,41156.21663,1908.834519,11096.86581,3379.226,20296.86481,26319.46537,5966.73598,4982.429203,23678.24919,21932.14971,23884.33118,1358.164881,8915.540816,3258.390342,0.999383163,1.297687134,1.425883127,1.16634414,1.742025264,0.916132467,1.723147126,1.405451243,1.244665471,1.037084464,3.647154078,4.320201499,4.174718038,3.909519077,5.035983106,3.259061718,5.38425727,4.301432974,4.20753569,3.589868614,3.820697956,4.517226419,4.354924459,4.089536839,5.2517323,3.412017842,5.166469014,4.490328836,4.399770432,3.757328837,1061.813584,1512.185948,390.724029,284.199768,1570.83819,1177.763737,1593.204818,85.01980986,504.4293099,179.873849
0.111111111,0.9,22819.88808,38423.73553,9571.351673,6537.630492,46404.12184,22604.34872,46300.74371,2147.438834,12483.97404,3801.62925,20930.53674,27223.64992,6200.916479,5152.288232,24620.02873,22635.46451,24839.8069,1409.084577,9217.131541,3365.833535,1.090267696,1.41141014,1.543538234,1.268879029,1.884811848,0.998625353,1.863973577,1.523995698,1.35443158,1.129476313,4.001349883,4.721717469,4.541298362,4.276507355,5.474756376,3.57108129,5.79577583,4.685894282,4.599306646,3.931410052,4.168071348,4.910283754,4.713034482,4.448973133,5.680233495,3.717829984,5.584865183,4.866117501,4.783288229,4.09201864,1094.985482,1565.031166,406.1651452,293.8939074,1633.880786,1215.996903,1658.079191,88.26087054,521.9829307,185.8070348
