LTV,STR,YOT,CIN,DIS,SEM,Paid_Social,DCI,DRD,LRD
0.009531737,0.019870284,0.019365031,0.007015446,0.021071833,0.01912246,0.016039313,0.016817741,0.017934496,0.011130145
0.020394698,0.042940385,0.042194748,0.015107803,0.045948296,0.041027232,0.03502793,0.036564779,0.038710106,0.023907802
0.032774964,0.069733911,0.069114466,0.024442577,0.075323339,0.066125287,0.057519401,0.059762078,0.062786649,0.038576927
0.046884655,0.100861352,0.100863333,0.035210745,0.110018829,0.094889252,0.084173158,0.087025209,0.090699783,0.055417614
0.053433833,0.117164373,0.115517105,0.040617232,0.124899287,0.108740352,0.098785855,0.102264148,0.100766027,0.063621301
0.060898647,0.125944983,0.12591612,0.046854869,0.134790234,0.12155946,0.112762508,0.117196413,0.108555241,0.073039847
0.069237693,0.124680534,0.125925001,0.053640356,0.131043811,0.123349688,0.119610945,0.123187495,0.108132396,0.079685522
0.077754023,0.111232525,0.112424609,0.061188057,0.112611889,0.113317858,0.11387853,0.116115183,0.098313096,0.081247814
0.083134592,0.087308062,0.090782718,0.066949643,0.087009768,0.093420423,0.098187165,0.098136778,0.084205183,0.077814046
0.082648945,0.063947443,0.065955728,0.068691539,0.058848566,0.06784327,0.075964379,0.073347091,0.066348786,0.069363262
0.076774308,0.044305679,0.044735301,0.066789352,0.037449128,0.047366682,0.05436772,0.051153896,0.050981724,0.059936804
0.06650845,0.030710442,0.03036828,0.061060228,0.023901251,0.033138812,0.039047651,0.03594215,0.039326384,0.051819999
0.055346121,0.021296098,0.020627417,0.054025287,0.01529269,0.023234013,0.028152247,0.025428065,0.03045667,0.044822767
0.046092137,0.014774,0.014021737,0.047832316,0.00980562,0.016325193,0.020368966,0.018102782,0.023683419,0.038785008
0.038414094,0.010149231,0.0095383,0.042371047,0.006112276,0.011496362,0.014735798,0.01279898,0.01849256,0.033571182
0.032037917,0.006732855,0.006337456,0.037535871,0.003460762,0.007923869,0.010639006,0.009066229,0.014484531,0.029066052
0.026735176,0.004361183,0.003707729,0.033263594,0.00172499,0.005268402,0.007634995,0.006359127,0.011386216,0.025165247
0.022326383,0.002393189,0.001911667,0.029486149,0.000607285,0.003244845,0.005341749,0.004432194,0.008981099,0.021792641
0.018658093,0.001130644,0.000686932,0.026143693,7.14458E-05,0.001661982,0.003554499,0.00309755,0.006848169,0.018875482
0.015604481,0.000462827,6.32206E-06,0.023197081,7.26922E-06,0.000730208,0.002173686,0.001851229,0.00502781,0.016351379
0.013064444,0,0,0.020585243,1.43208E-06,0.000214349,0.001200425,0.000994141,0.003581353,0.014172778
0.010945636,0,0,0.018268812,0,0,0.000534468,0.00035674,0.002456425,0.012285563
0.009177054,0,0,0.016214224,0,0,0.000211637,0,0.00183671,0.010650613
0.007699831,0,0,0.014391747,0,0,8.79677E-05,0,0.00151722,0.009234078
0.006465137,0,0,0.012775039,0,0,0,0,0.001285021,0.00800667
0.005256727,0,0,0.011340761,0,0,0,0,0.001088358,0.00694304
0.003972427,0,0,0.010068235,0,0,0,0,0.000921793,0.006021252
0.002904266,0,0,0.008939136,0,0,0,0,0.000631176,0.005222316
0.002015343,0,0,0.007937225,0,0,0,0,0.000385036,0.004121863
0.001309319,0,0,0.007048109,0,0,0,0,0.000176565,0.003171304
0.000991367,0,0,0.006259034,0,0,0,0,0,0.002350157
0.000606376,0,0,0.005558691,0,0,0,0,0,0.001640748
0.000273616,0,0,0.004937058,0,0,0,0,0,0.001145183
0.000127507,0,0,0.004385248,0,0,0,0,0,0.000711532
0,0,0,0.003606853,0,0,0,0,0,0.000332061
0,0,0,0.002918445,0,0,0,0,0,0
0,0,0,0.001894234,0,0,0,0,0,0
0,0,0,0.000984394,0,0,0,0,0,0
0,0,0,0.00046463,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
