Pct_Delta,PCT_Change,M_P_LTV,M_P_STR,M_P_YOT,M_P_CIN,M_P_DIS,M_P_SEM,M_P_FAB,M_P_SNP,M_P_TWT,M_P_PIN,M_P_TIK,M_P_DCI,M_P_DRD,M_P_LRD,M_P_OOH,TlncT_P_LTV,TlncT_P_STR,TlncT_P_YOT,TlncT_P_CIN,TlncT_P_DIS,TlncT_P_SEM,TlncT_P_FAB,TlncT_P_SNP,TlncT_P_TWT,TlncT_P_PIN,TlncT_P_TIK,TlncT_P_DCI,TlncT_P_DRD,TlncT_P_LRD,TlncT_P_OOH,CPT_P_LTV,CPT_P_STR,CPT_P_YOT,CPT_P_CIN,CPT_P_DIS,CPT_P_SEM,CPT_P_FAB,CPT_P_SNP,CPT_P_TWT,CPT_P_PIN,CPT_P_TIK,CPT_P_DCI,CPT_P_DRD,CPT_P_LRD,CPT_P_OOH,MCPT_P_LTV,MCPT_P_STR,MCPT_P_YOT,MCPT_P_CIN,MCPT_P_DIS,MCPT_P_SEM,MCPT_P_FAB,MCPT_P_SNP,MCPT_P_TWT,MCPT_P_PIN,MCPT_P_TIK,MCPT_P_DCI,MCPT_P_DRD,MCPT_P_LRD,MCPT_P_OOH,nMCPT_P_LTV,nMCPT_P_STR,nMCPT_P_YOT,nMCPT_P_CIN,nMCPT_P_DIS,nMCPT_P_SEM,nMCPT_P_FAB,nMCPT_P_SNP,nMCPT_P_TWT,nMCPT_P_PIN,nMCPT_P_TIK,nMCPT_P_DCI,nMCPT_P_DRD,nMCPT_P_LRD,nMCPT_P_OOH,nMTIncT_P_LTV,nMTIncT_P_STR,nMTIncT_P_YOT,nMTIncT_P_CIN,nMTIncT_P_DIS,nMTIncT_P_SEM,nMTIncT_P_FAB,nMTIncT_P_SNP,nMTIncT_P_TWT,nMTIncT_P_PIN,nMTIncT_P_TIK,nMTIncT_P_DCI,nMTIncT_P_DRD,nMTIncT_P_LRD,nMTIncT_P_OOH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,5026.29848,8150.21203,1658.32635,853.61423,5703.42325,2971.59248,2348.48,871.18506,505.97522,430.1005012,256.019649,427.20879,1075.62258,1476.7449,2395.75666,12680.05509,32045.06785,5508.650349,2170.276387,19220.17284,10456.77281,7028.521752,1711.426694,1321.009704,860.4117567,591.778466,731.2483663,4016.226617,3412.5309,20068.5384,0.396394057,0.254335927,0.301040408,0.393320517,0.296741517,0.284178736,0.334135695,0.509040243,0.383021577,0.499877527,0.432627518,0.584218454,0.267819195,0.43274184,0.119378732,1.517461813,1.043622552,1.118497905,1.575724225,1.126576883,1.002656209,1.196661749,1.701636661,1.295707021,1.658838685,1.575708514,1.882187078,1.177689296,1.675459353,0.76435105,1.181789902,0.807010181,0.874187336,1.221210886,0.878324057,0.788000238,0.939538446,1.345995396,1.02373498,1.313258292,1.233862361,1.495536488,0.904529426,1.303201283,0.570154308,850.6247125,2019.853584,379.3983925,139.7980053,1298.705917,754.2110617,499.9220649,129.4484457,98.84886806,65.50128087,41.49889926,57.1311758,237.8303124,226.6334325,840.3888647
0.5,0.2,10052.59696,16300.42406,3316.6527,1707.22846,11406.8465,5943.18496,4696.96,1742.37012,1011.95044,860.2010024,512.039298,854.41758,2151.24516,2953.4898,4791.51332,15992.36149,39854.60781,6991.287323,2712.004576,24282.78626,13420.49303,8991.047923,2223.3956,1711.510961,1119.689832,754.2575328,958.2230357,4929.559687,4293.927932,23202.90534,0.628587402,0.408997227,0.474397997,0.629507957,0.469750315,0.442844011,0.522404067,0.78365277,0.591261443,0.768249365,0.678865342,0.891668795,0.436397021,0.687829383,0.206504886,2.161230073,1.502106263,1.584520784,2.26050096,1.601872182,1.408908793,1.683725837,2.368384782,1.806322391,2.30594154,2.22613639,2.602347488,1.712242201,2.390723329,1.160736091,1.873765555,1.296979436,1.37665423,1.954303244,1.389714554,1.227963748,1.46678475,2.071958621,1.579263893,2.018314076,1.936137574,2.282576337,1.47263449,2.071217212,0.98167908,1072.98343,2513.59792,481.8425174,174.7147957,1641.609993,967.9740088,640.4429826,168.1858028,128.1546984,85.23955838,52.89286308,74.86431592,292.1628108,285.1936322,976.1873139
0.333333333,0.3,15078.89544,24450.63609,4974.97905,2560.84269,17110.26975,8914.77744,7045.44,2613.55518,1517.92566,1290.301504,768.0589471,1281.62637,3226.86774,4430.2347,7187.26998,18318.02711,45280.46364,8037.866432,3089.626283,27843.25963,15529.63771,10385.85933,2591.234925,1991.624424,1306.208221,869.2638057,1122.385889,5557.755032,4911.625882,25266.90308,0.82317246,0.539982017,0.618942737,0.828851924,0.614521072,0.574049286,0.678368518,1.008613752,0.762154572,0.987822219,0.883574057,1.141876766,0.580606328,0.901989444,0.284453934,2.713138279,1.898324708,1.982310061,2.850866731,2.008769307,1.753596143,2.097140139,2.929901216,2.236772057,2.850404843,2.78030946,3.205750804,2.177758571,3.004827827,1.51724532,2.453595083,1.711749258,1.795384179,2.572976631,1.817467875,1.591783328,1.903061963,2.666628629,2.034923001,2.595167116,2.519970935,2.923081866,1.958271605,2.715963956,1.348267113,1229.126643,2856.801133,554.1966012,199.0568169,1882.869016,1120.099361,740.4320129,196.0194345,149.1875279,99.43879879,60.95776237,87.69007702,329.5628382,326.2366343,1066.149269
0.25,0.4,20105.19392,32600.84812,6633.3054,3414.45692,22813.693,11886.36992,9393.92,3484.74024,2023.90088,1720.402005,1024.078596,1708.83516,4302.49032,5906.9796,9583.02664,20170.60445,49573.83453,8874.428977,3389.048988,30682.52207,17224.20831,11505.70819,2888.577735,2217.832194,1457.099243,961.3469542,1255.649145,6051.667715,5403.083291,26845.92041,0.996757136,0.657622079,0.747462785,1.007497068,0.743540343,0.690096735,0.816457348,1.206386173,0.912558166,1.180703382,1.065253904,1.36091771,0.710959445,1.093260881,0.356963982,3.211408327,2.258030836,2.340340536,3.38594617,2.37575153,2.062540902,2.467759036,3.43058499,2.620840299,3.335568583,3.278469402,3.741867763,2.602637453,3.559820154,1.849957247,2.970808397,2.084151123,2.167563539,3.127373876,2.198582655,1.913571715,2.289049002,3.189407877,2.435814593,3.101896811,3.038125504,3.483803155,2.397040206,3.291776429,1.688268072,1353.516702,3128.45338,612.0517604,218.3593683,2075.309104,1242.322911,820.7705464,218.5195732,166.178566,110.9258051,67.41516074,98.10170576,358.9835755,358.8931221,1135.249407
0.2,0.5,25131.4924,40751.06015,8291.63175,4268.07115,28517.11625,14857.9624,11742.4,4355.9253,2529.8761,2150.502506,1280.098245,2136.04395,5378.1129,7383.7245,11978.7833,21735.74284,53183.26798,9583.012333,3641.154068,33083.20379,18664.95185,12457.37323,3142.524238,2410.890589,1586.042927,1039.438166,1369.819078,6464.949472,5817.920231,28140.95394,1.156228825,0.766238362,0.86524273,1.172175379,0.8619817,0.796035399,0.942606421,1.386123056,1.049353343,1.355891741,1.231529,1.559362097,0.831887847,1.269134709,0.425670833,3.672560834,2.592368024,2.670913175,3.882662217,2.715128964,2.346882124,2.80890008,3.889554142,2.973081299,3.780089663,3.737990318,4.231969331,2.999173868,4.073877901,2.165803589,3.445944106,2.427911002,2.508553054,3.638402108,2.548384138,2.207329418,2.641467037,3.664500017,2.800342227,3.562144677,3.512345413,3.991799469,2.803940712,3.821217247,2.009701194,1458.612887,3356.882532,661.068877,234.6123943,2238.05476,1346.238788,889.0816986,237.736405,180.6833519,120.7420081,72.8913643,107.021606,383.6110284,386.4592889,1192.095953
0.166666667,0.6,30157.79088,48901.27218,9949.9581,5121.68538,34220.5395,17829.55488,14090.88,5227.11036,3035.85132,2580.603007,1536.117894,2563.25274,6453.73548,8860.4694,14374.53996,23104.35148,56327.19351,10203.89599,3861.006886,35183.81239,19931.13921,13293.45851,3366.504938,2581.076053,1699.82343,1107.929421,1470.767066,6823.589094,6180.411434,29247.12842,1.305286188,0.868164542,0.975113634,1.326515474,0.972621702,0.894557742,1.059986007,1.552681626,1.176195997,1.518159452,1.386476308,1.74279993,0.945797789,1.433637468,0.491485515,4.10576478,2.907536043,2.980846907,4.350422615,3.033731548,2.612781154,3.127933952,4.317356421,3.301529158,4.194257762,4.168495648,4.687769054,3.374222884,4.557093975,2.468675079,3.890031203,2.750440316,2.826579538,4.117329981,2.875095474,2.480522375,2.96924144,4.104748767,3.138280987,3.988447933,3.954258245,4.461380617,3.187115764,4.316413768,2.317028305,1550.516657,3555.886809,704.0281701,248.7867334,2380.480218,1437.564528,949.1232211,254.6860067,193.4722437,129.4038709,77.69436384,114.9084985,404.9890847,410.5477314,1240.77379
0.142857143,0.7,35184.08936,57051.48421,11608.28445,5975.29961,39923.96275,20801.14736,16439.36,6098.29542,3541.82654,3010.703508,1792.137543,2990.46153,7529.35806,10337.2143,16770.29662,24328.55665,59130.32713,10760.22324,4057.22098,37063.815,21068.46848,14044.2672,3568.291627,2734.330861,1802.368511,1169.347178,1561.89971,7142.365481,6504.465515,30217.59095,1.446205373,0.964843034,1.078814462,1.472756756,1.077168196,0.987311791,1.170538823,1.709023829,1.295317472,1.670415063,1.53259663,1.914630952,1.054182691,1.589248844,0.554984567,4.516805346,3.207456718,3.274438742,4.795173502,3.335867103,2.864112276,3.429497717,4.72060776,3.611225621,4.584524754,4.576045015,5.116600932,3.732131058,5.015839357,2.76106148,4.309856599,3.056319131,3.126695209,4.571111697,3.183773909,2.737720413,3.277839161,4.517986065,3.455595803,4.388447796,4.370996333,4.901249576,3.551617829,4.784834254,2.613070841,1632.726684,3733.346013,742.5274083,261.4374798,2507.964692,1519.596176,1003.060809,269.9563625,204.9907884,137.2104055,82.00132906,122.0285351,423.9959603,432.0824401,1283.569994
0.125,0.8,40210.38784,65201.69624,13266.6108,6828.91384,45627.386,23772.73984,18787.84,6969.48048,4047.80176,3440.80401,2048.157192,3417.67032,8604.98064,11813.9592,19166.05328,25441.3561,61671.34724,11266.66922,4235.236276,38773.54236,22105.99501,14729.05552,3752.84097,2874.442633,1896.184233,1225.294977,1645.394358,7430.571485,6798.881822,31085.28501,1.580512756,1.057244558,1.177509567,1.612404455,1.176765991,1.075397865,1.275563119,1.857121188,1.408204051,1.814593725,1.671562547,2.077113188,1.158050987,1.737632674,0.616563537,4.909637526,3.494817696,3.5546228,5.220986601,3.624479623,3.103515729,3.716752785,5.103806417,3.905600123,4.955276003,4.9647732,5.523443321,4.075883881,5.454471365,3.044689244,4.709971407,3.3486293,3.412282272,5.004421433,3.47780901,2.981974603,3.570912222,4.909424879,3.756259192,4.767228224,4.767329916,5.317186647,3.900857934,5.231489709,2.899763219,1707.457832,3894.231961,777.5799154,272.9152183,2623.915567,1594.429397,1052.271175,283.9224818,215.5230272,144.352393,85.92470957,128.5518281,441.1840054,451.6479954,1321.904709
0.111111111,0.9,45236.68632,73351.90827,14924.93715,7682.52807,51330.80925,26744.33232,21136.32,7840.66554,4553.77698,3870.904511,2304.176841,3844.87911,9680.60322,13290.7041,21561.80994,26465.11772,64003.43227,11733.1959,4398.733004,40347.12639,23063.48734,15360.91891,3923.534172,3003.993843,1982.98071,1276.862217,1722.739008,7694.470706,7069.622064,31872.14911,1.709294733,1.146062104,1.272026589,1.746532027,1.272229619,1.159596202,1.375980182,1.998368103,1.515907561,1.952063624,1.804561848,2.231840745,1.258124644,1.879973778,0.676509446,5.28711951,3.771565638,3.823517163,5.630808934,3.901695978,3.332894027,3.991978057,5.470187014,4.187119659,5.309664076,5.337663141,5.911870801,4.407648314,5.876140171,3.320822987,5.093614781,3.629570653,3.685744506,5.4205925,3.759612202,3.215448474,3.851051437,5.282752128,4.043082075,5.128383657,5.146646591,5.713272572,4.23727772,5.659948407,3.178508289,1776.211522,4041.90552,809.8736701,283.4571339,2730.643827,1663.490026,1097.690869,296.8401829,225.2626534,150.9600205,89.54090009,134.5946325,456.9255951,469.6404683,1356.725104
