Media,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
Local TV,869041.38,869041.38,869041.38,512704.5567,512704.5567,512704.5567,739491.4533,739491.4533,739491.4533,361518.92,361518.92,361518.92
Streaming,222755.8467,222755.8467,222755.8467,524965.5433,524965.5433,524965.5433,291896.1533,291896.1533,291896.1533,301865.19,301865.19,301865.19
YouTube,237172.5333,237172.5333,237172.5333,254224.4667,254224.4667,254224.4667,269418.53,269418.53,269418.53,259750,259750,259750
Cinema,66666.66667,66666.66667,66666.66667,0,0,0,0,0,0,0,0,0
Display,527244.7601,527244.7601,527244.7601,974056.3041,974056.3041,974056.3041,793908.555,793908.555,793908.555,715267.325,715267.325,715267.325
Paid Search,304582.9367,304582.9367,304582.9367,378644.005,378644.005,378644.005,301164.805,301164.805,301164.805,356835.9167,356835.9167,356835.9167
Facebook,167187.8594,149136.3779,124529.6489,215019.5959,219529.034,217665.0995,245229.4709,212496.7368,188585.7209,206482.9867,181442.5717,216408.8286
Snapchat,55054.79348,47185.95692,39298.01742,61488.44782,74919.56147,81119.18769,78683.67899,95397.16637,70920.64896,78465.76449,95385.56576,67904.27011
Twitter,64291.88837,89225.78354,110538.2779,53131.25712,30238.57761,29294.55111,48389.1894,43450.32667,42685.73779,29929.54676,32156.77391,34276.92509
Pinterest,31529.27394,33545.55168,44727.72578,40811.95579,45764.0836,42372.41831,38274.84735,46253.2902,41276.41266,24318.80196,26893.33735,37061.76587
Tiktok,1029.854846,0,0,0,0,0,0,12979.66661,67108.6664,39860.57008,43179.42126,23405.88029
DCI,0,0,0,0,0,0,0,0,0,0,0,0
Digital Radio,43451.48513,43451.48513,43451.48513,131594.598,131594.598,131594.598,147984.09,147984.09,147984.09,110208.5033,110208.5033,110208.5033
Local Radio,118873.0633,118873.0633,118873.0633,124472.97,124472.97,124472.97,217910.3767,217910.3767,217910.3767,174912.2967,174912.2967,174912.2967
Out of Home,335165.7,335165.7,335165.7,258661.6167,258661.6167,258661.6167,283181.8533,283181.8533,283181.8533,333888.96,333888.96,333888.96
