Pct_Delta,PCT_Change,M_P_NTV,M_P_STR,M_P_DIS_BAN,M_P_RAD,M_P_DIS_AFF,M_P_CEM,M_P_SEM,M_P_Total_Social,TlncT_P_NTV,TlncT_P_STR,TlncT_P_DIS_BAN,TlncT_P_RAD,TlncT_P_DIS_AFF,TlncT_P_CEM,TlncT_P_SEM,TlncT_P_Total_Social,CPT_P_NTV,CPT_P_STR,CPT_P_DIS_BAN,CPT_P_RAD,CPT_P_DIS_AFF,CPT_P_CEM,CPT_P_SEM,CPT_P_Total_Social,MCPT_P_NTV,MCPT_P_STR,MCPT_P_DIS_BAN,MCPT_P_RAD,MCPT_P_DIS_AFF,MCPT_P_CEM,MCPT_P_SEM,MCPT_P_Total_Social,nMCPT_P_NTV,nMCPT_P_STR,nMCPT_P_DIS_BAN,nMCPT_P_RAD,nMCPT_P_DIS_AFF,nMCPT_P_CEM,nMCPT_P_SEM,nMCPT_P_Total_Social,nMTIncT_P_NTV,nMTIncT_P_STR,nMTIncT_P_DIS_BAN,nMTIncT_P_RAD,nMTIncT_P_DIS_AFF,nMTIncT_P_CEM,nMTIncT_P_SEM,nMTIncT_P_Total_Social
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,5162.67483,2004.929084,372.9058214,240.957,70.886,12.823222,978.08474,3547.673431,47886.88768,7431.900268,1914.000505,376.2954362,204.4382971,10.77274281,4808.882751,19693.1747,0.10780978,0.269773411,0.194830576,0.640339948,0.346735426,1.190339566,0.203391264,0.18014736,0.521822733,0.776922017,0.497711449,1.410525799,0.686269486,1.74589628,0.541594182,0.541224752,0.397146655,0.626441376,0.408271414,1.184483211,0.587119135,1.586290192,0.441540179,0.434133713,2599.883328,640.1011053,182.6754502,40.68559144,24.14705831,1.616756135,443.0331768,1634.36901
0.5,0.2,10325.34966,4009.858169,745.8116428,481.914,141.772,25.646444,1956.16948,7095.346861,57780.4291,10012.50558,2663.2415,547.1232227,307.7300817,18.11752162,6614.819323,26248.07341,0.178699775,0.400484987,0.280039059,0.880814376,0.460702442,1.415560282,0.295725308,0.270318768,0.769133147,1.05129537,0.656780041,1.799265951,0.852320649,1.991486088,0.721135492,0.737878653,0.657987308,0.929966988,0.586779332,1.62930619,0.780096866,1.886427583,0.641987285,0.650809084,3138.464691,862.3657016,254.2051508,59.1557318,36.34728099,2.719048877,609.4106615,2180.469522
0.333333333,0.3,15488.02449,6014.787253,1118.717464,722.871,212.658,38.469666,2934.25422,10643.02029,64492.75824,11919.60909,3231.020358,681.0428357,390.898312,24.55654325,7971.131349,31056.00954,0.240151374,0.504612795,0.346242778,1.061417817,0.544023838,1.56657497,0.368110133,0.342704052,0.986812378,1.277370988,0.785304789,2.105176368,0.980288132,2.168511658,0.867227677,0.900785687,0.883994311,1.171762377,0.725464584,1.963381464,0.921183074,2.087675299,0.79912682,0.824620089,3504.100488,1026.622354,308.4140806,73.63530859,46.17062688,3.685407019,734.3650961,2581.314822
0.25,0.4,20650.69932,8019.716338,1491.623286,963.828,283.544,51.292888,3912.33896,14190.69372,69724.42633,13489.18371,3705.875251,795.5021293,463.2097046,30.46991796,9098.960598,34994.43072,0.296175966,0.594529403,0.402502293,1.211597008,0.612128799,1.683394359,0.42997647,0.405512918,1.186973118,1.475904677,0.89663824,2.365329711,1.087537922,2.310108102,0.994403356,1.044375076,1.089974843,1.380557913,0.84331384,2.241178799,1.03650364,2.243353104,0.933431869,0.975366835,3789.206596,1161.808029,353.7528296,86.01080828,54.71162648,4.572876906,838.2698493,2909.81674
0.2,0.5,25813.37415,10024.64542,1864.529107,1204.785,354.43,64.11611,4890.4237,17738.36715,74073.87178,14847.62448,4121.768534,897.3724939,528.3899604,36.02083655,10082.55014,38391.36493,0.348481503,0.675168303,0.45236143,1.342569566,0.670773532,1.77997282,0.485038372,0.462040544,1.374856713,1.65577142,0.996445052,2.595258897,1.181266927,2.429477121,1.108846117,1.174830273,1.282232795,1.567809664,0.947752924,2.483448232,1.13580542,2.372057105,1.052965232,1.110991974,4026.316321,1278.808985,393.4631189,97.02517528,62.41033783,5.405949954,928.8860737,3193.248478
0.166666667,0.6,30976.04898,12029.57451,2237.434928,1445.742,425.316,76.939332,5868.50844,21286.04058,77828.93569,16058.49758,4496.004746,990.2175663,588.3984127,41.29901838,10964.62451,41411.09767,0.398001703,0.749109588,0.497649592,1.460024594,0.722836756,1.8629821,0.535222017,0.514017782,1.553392053,1.821827034,1.087799373,2.803294366,1.265297202,2.533400386,1.213921766,1.295542567,1.464214184,1.739508869,1.04261509,2.700713309,1.223962883,2.482678319,1.161908434,1.235665902,4231.08167,1383.100106,429.1967283,107.063715,69.49818593,6.198091102,1010.1499,3445.274415
0.142857143,0.7,36138.72381,14034.50359,2610.34075,1686.699,496.202,89.762554,6846.59318,24833.71401,81152.42046,17159.00221,4838.81228,1076.172507,644.4216141,46.36068256,11770.34755,44149.46653,0.445319112,0.817909073,0.539458983,1.567312851,0.769995899,1.936178439,0.58168148,0.562491825,1.72444149,1.977093579,1.172600409,2.994529587,1.341946021,2.625876151,1.311715247,1.408627142,1.638068839,1.89926829,1.130188835,2.899172175,1.303816376,2.580222447,1.262766845,1.351911019,4412.357156,1477.885317,461.9300188,116.357284,76.11531947,6.957737626,1084.379624,3673.868126
0.125,0.8,41301.39864,16039.43268,2983.246571,1927.656,567.088,102.585776,7824.67792,28381.38744,84146.24476,18173.08121,5156.828391,1156.638234,697.2449012,51.24408957,12516.0008,46667.99917,0.49082878,0.882592912,0.57850414,1.666602352,0.813326851,2.001904549,0.625173971,0.608155223,1.88928785,2.123611368,1.252122053,3.172350166,1.412742439,2.709480173,1.403628337,1.515514797,1.805254587,2.049470763,1.211971303,3.08283516,1.377187683,2.667811472,1.357184284,1.461395085,4575.68688,1565.226786,492.2965689,125.0573514,82.35449781,7.690631596,1153.075233,3884.149843
0.111111111,0.9,46464.07347,18044.36176,3356.152392,2168.613,637.974,115.408998,8802.76266,31929.06087,86878.84839,19117.19421,5454.647458,1232.593594,747.4210679,55.97681363,13212.82682,49008.90236,0.534814565,0.943881281,0.615283099,1.759390127,0.853567055,2.061728607,0.666228566,0.651495123,2.048864773,2.26283829,1.327269288,3.339142071,1.478757136,2.785978693,1.490658956,1.617229645,1.96681888,2.191788606,1.289005992,3.254471433,1.445325497,2.747535208,1.446309318,1.565290976,4724.794331,1646.542163,520.7349558,133.2697518,88.28101372,8.400911308,1217.272481,4079.63265
0.2,1,51626.7483,20049.29084,3729.058214,2409.57,708.86,128.23222,9780.8474,35476.73431,89398.62173,20003.21823,5735.604626,1304.754944,795.3572693,60.57958465,13868.96935,51202.57563,0.577489309,1.00230326,0.650159566,1.846760582,0.891247276,2.116756342,0.705232462,0.692870112,2.203879795,2.395860776,1.398713007,3.496661487,1.540773689,2.856640572,1.573548286,1.714536034,2.12354709,2.3274504,1.362054934,3.416086896,1.50912855,2.820867187,1.530982509,1.664461891,4862.312547,1722.854403,547.5635559,141.0719383,93.94295803,9.091687875,1277.721639,4262.847289
0.272727273,1.1,56789.42313,22054.21993,4101.964035,2650.527,779.746,141.055442,10758.93214,39024.40774,91741.16093,20840.04861,6002.211013,1373.665532,841.3640259,65.0685015,14490.54846,53271.74965,0.619017926,1.058261444,0.683408835,1.92952865,0.926764131,2.167799146,0.742479291,0.73255352,2.354886023,2.523515167,1.466967236,3.646245319,1.599385534,2.922410905,1.65286517,1.808023178,2.276047706,2.45739101,1.431694916,3.56918899,1.569268424,2.888888701,1.611841298,1.759565692,4990.17863,1794.92965,573.022086,148.522648,99.37700756,9.765377388,1334.986534,4435.686364
0.25,1.2,61952.09796,24059.14901,4474.869857,2891.484,850.632,153.878664,11737.01688,42572.08117,93933.48565,21634.54714,6256.412888,1439.749128,885.6847969,69.45639301,15082.29953,55233.93325,0.659531556,1.11207084,0.715245291,2.008324884,0.960422944,2.215471569,0.778198103,0.770759543,2.502326638,2.646462174,1.532436315,3.788939033,1.655054577,2.98401429,1.729057764,1.898157141,2.424804599,2.582341917,1.498375105,3.714944095,1.626262119,2.952418721,1.689382931,1.85111784,5109.863119,1863.358904,597.2963434,155.6676992,104.6119183,10.42390518,1389.503429,4599.607895
0.230769231,1.3,67114.77279,26064.0781,4847.775678,3132.441,921.518,166.701886,12715.10162,46119.7546,95996.6355,22392.13555,6499.754695,1503.343975,928.5148044,73.75369884,15647.97452,57102.9426,0.699136719,1.16398358,0.74583979,2.083648887,0.99246452,2.260251196,0.812571723,0.80765986,2.646563948,2.765234928,1.59544522,3.925578379,1.708148488,3.042019585,1.802486769,1.985314425,2.570210772,2.702888592,1.562453465,3.854276362,1.680517385,3.012093696,1.764004299,1.939531428,5222.511205,1928.609131,620.5337676,162.5436635,109.6707488,11.06883801,1441.617985,4755.762544
0.214285714,1.4,72277.44762,28069.00718,5220.681499,3373.398,992.404,179.525108,13693.18636,49667.42803,97947.34402,23117.18393,6733.486205,1564.725248,970.0135386,77.96906355,16190.60527,58889.90057,0.737921465,1.214205297,0.775331135,2.155904369,1.023082628,2.302517176,0.845748885,0.843394666,2.787899135,2.880271267,1.656259867,4.056843828,1.758965446,3.0968823,1.873447721,2.069804565,2.712591084,2.819508543,1.6242208,3.987932565,1.732362323,3.068418892,1.836028288,2.025143759,5329.033782,1991.056721,642.8536685,169.1802931,114.5723371,11.70147326,1491.609519,4905.076769
0.2,1.5,77440.12245,30073.93627,5593.587321,3614.355,1063.29,192.34833,14671.2711,53215.10146,99799.15952,23813.27429,6958.635549,1624.120436,1010.313364,82.10975111,16712.68268,60603.91429,0.775959666,1.26290639,0.803833924,2.225423017,1.052435846,2.342575972,0.877852549,0.878080271,2.926586122,2.991936174,1.715101171,4.1832981,1.807751129,3.148973348,1.942186447,2.151885844,2.852218069,2.932597447,1.683917206,4.116526245,1.782065454,3.121802714,1.90572183,2.108234628,5430.168421,2051.010192,664.3541974,175.6021842,119.3323172,12.32290107,1539.707513,5048.309212
0.1875,1.6,82602.79728,32078.86535,5966.493142,3855.312,1134.176,205.171552,15649.35584,56762.77489,101563.22,24483.38521,7176.060519,1681.720204,1049.52562,86.18194245,17216.2825,62252.54888,0.813314085,1.310229982,0.831444095,2.292481229,1.080655849,2.380679133,0.908985772,0.91181447,3.062841594,3.100537821,1.772155074,4.305412789,1.854710727,3.198599131,2.008910089,2.23177654,2.989323282,3.042487654,1.741743674,4.240568681,1.829849737,3.172580384,1.97330865,2.189039279,5526.521522,2108.726082,685.1172456,181.8299521,123.96384,12.93404908,1586.103202,5186.09012
0.176470588,1.7,87765.47211,34083.79443,6339.398964,4096.269,1205.062,217.994774,16627.44058,60310.44832,103248.8033,25130.02434,7386.48557,1737.686266,1087.745057,90.19095435,17703.15583,63842.16745,0.850038638,1.356297709,0.858242923,2.35731218,1.107853345,2.417035894,0.939235961,0.944680463,3.196852398,3.20633932,1.827579856,4.423587718,1.90001765,3.246015941,2.073795161,2.309663175,3.124105625,3.149461616,1.797870482,4.360491189,1.875902633,3.221030739,2.038978501,2.26775782,5618.598258,2164.420374,705.2119748,187.8810814,128.4780968,13.53571522,1630.957911,5318.94965
0.166666667,1.8,92928.14694,36088.72352,6712.304785,4337.226,1275.948,230.817996,17605.52532,63858.12175,104863.7277,25755.32593,7590.529087,1792.15721,1125.053131,94.14140384,18174.79582,65378.18078,0.886180083,1.40121401,0.884299989,2.420114695,1.134122438,2.451822329,0.968678025,0.97674975,3.328781143,3.309567504,1.881511591,4.538165321,1.943819967,3.291440522,2.13699357,2.385706684,3.256737594,3.253761847,1.852443403,4.476661552,1.920383484,3.267388418,2.102893999,2.344562211,5706.824345,2218.276888,724.6974213,193.7705564,132.8847088,14.12859241,1674.409202,5447.338651
0.157894737,1.9,98090.82177,38093.6526,7085.210606,4578.183,1346.834,243.641218,18583.61006,67405.79518,106414.6482,26361.12384,7788.723891,1845.252896,1161.5205,98.03733388,18632.48777,66865.23426,0.921779318,1.445069369,0.909675411,2.481059918,1.159543891,2.485188125,0.997376748,1.008084334,3.458770484,3.410419619,1.934068295,4.649441517,1.986245275,3.335057947,2.198637184,2.460047115,3.387370055,3.355598465,1.905588386,4.58939635,1.963429046,3.311852903,2.165195788,2.419601555,5791.562195,2270.453572,743.6244531,199.5113366,137.1920215,14.7132874,1716.575486,5571.644227
0.2,2,103253.4966,40098.58169,7458.116428,4819.14,1417.72,256.46444,19561.6948,70953.46861,107907.2811,26949.00724,7981.532916,1897.07783,1197.208943,101.8823111,19077.34731,68307.35031,0.956872377,1.487942815,0.934421559,2.540296409,1.184187613,2.517261702,1.025388618,1.038738412,3.586946479,3.509068497,1.985353115,4.757674079,2.027404421,3.377027621,2.258841364,2.53280727,3.516135944,3.455154978,1.957415144,4.69897038,2.005157696,3.354595329,2.226006492,2.493006175,5873.123124,2321.0873,762.0372663,205.1147213,141.407332,15.29033548,1757.559546,5692.201594
0.238095238,2.1,108416.1714,42103.51077,7831.022249,5060.097,1488.606,269.287662,20539.77954,74501.14204,109346.5763,27520.36374,8169.361377,1947.723796,1232.17286,105.6795031,19510.35016,69708.03858,0.99149123,1.529903862,0.958584385,2.597954088,1.208114582,2.548154128,1.052763245,1.068759695,3.713421237,3.605666623,2.03545684,4.863089157,2.067394409,3.4174879,2.317707736,2.604095566,3.643153185,3.55259281,2.008019949,4.805623969,2.045672684,3.39576371,2.285433811,2.564890788,5951.776712,2370.297584,779.9745469,210.5906344,145.5370658,15.86021202,1797.451271,5809.303257
