NTV,STR,BAN,RAD,AFF,CEM,SEM,Total_Social
0.003929,0.009774,0.009975,0.002788,0.013882,0.009756,0.011951,0.009365377
0.008448,0.021893,0.022633,0.00644,0.032526,0.023952,0.026992,0.020869086
0.013648,0.036918,0.038696,0.011224,0.057568,0.044606,0.045924,0.035002005
0.019634,0.055548,0.05908,0.017492,0.091203,0.074658,0.069751,0.052368288
0.0226,0.068872,0.074973,0.022913,0.122497,0.108626,0.087788,0.064346264
0.026028,0.085391,0.095144,0.030016,0.164529,0.15805,0.11049,0.079078627
0.029993,0.105873,0.120742,0.03932,0.168118,0.170588,0.139063,0.093437693
0.034067,0.131268,0.148434,0.051507,0.147994,0.157852,0.142953,0.107766635
0.038435,0.134404,0.145273,0.067473,0.109194,0.123162,0.129138,0.123510786
0.043233,0.121398,0.123226,0.088387,0.051525,0.064256,0.100831,0.119247981
0.048569,0.095205,0.086716,0.115783,0.024313,0.033524,0.058833,0.103799548
0.055057,0.056731,0.041119,0.125239,0.010803,0.01749,0.034328,0.079861805
0.062704,0.033805,0.019615,0.11984,0.004428,0.008455,0.02003,0.047396632
0.066424,0.020144,0.008997,0.100805,0.00142,0.003742,0.011687,0.02818274
0.066252,0.012004,0.003846,0.067819,0,0.001283,0.006181,0.016704302
0.062187,0.006453,0.001367,0.045627,0,0,0.002968,0.009820398
0.054151,0.003145,0.000164,0.030697,0,0,0.001094,0.005309003
0.047159,0.001174,0,0.020652,0,0,0,0.002621566
0.041083,0,0,0.013894,0,0,0,0.001056451
0.03579,0,0,0.009348,0,0,0,0.000182874
0.031179,0,0,0.006289,0,0,0,7.19E-05
0.027162,0,0,0.003701,0,0,0,0
0.023663,0,0,0.00196,0,0,0,0
0.020614,0,0,0.000788,0,0,0,0
0.017959,0,0,0,0,0,0,0
0.015645,0,0,0,0,0,0,0
0.013629,0,0,0,0,0,0,0
0.011873,0,0,0,0,0,0,0
0.010344,0,0,0,0,0,0,0
0.009011,0,0,0,0,0,0,0
0.00785,0,0,0,0,0,0,0
0.006839,0,0,0,0,0,0,0
0.005958,0,0,0,0,0,0,0
0.00519,0,0,0,0,0,0,0
0.004521,0,0,0,0,0,0,0
0.003939,0,0,0,0,0,0,0
0.002742,0,0,0,0,0,0,0
0.0017,0,0,0,0,0,0,0
0.000791,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
