Pct_Delta,PCT_Change,M_P_NTV,M_P_TTV,M_P_CTVP,M_P_CTVNP,M_P_DD,M_P_STRP,M_P_STRNP,M_P_YOT,M_P_CIN,M_P_DISP,M_P_DISNP,M_P_SEM,M_P_PAID_SOCIAL,M_P_DCI,M_P_DRD,TlncT_P_NTV,TlncT_P_TTV,TlncT_P_CTVP,TlncT_P_CTVNP,TlncT_P_DD,TlncT_P_STRP,TlncT_P_STRNP,TlncT_P_YOT,TlncT_P_CIN,TlncT_P_DISP,TlncT_P_DISNP,TlncT_P_SEM,TlncT_P_PAID_SOCIAL,TlncT_P_DCI,TlncT_P_DRD,CPT_P_NTV,CPT_P_TTV,CPT_P_CTVP,CPT_P_CTVNP,CPT_P_DD,CPT_P_STRP,CPT_P_STRNP,CPT_P_YOT,CPT_P_CIN,CPT_P_DISP,CPT_P_DISNP,CPT_P_SEM,CPT_P_PAID_SOCIAL,CPT_P_DCI,CPT_P_DRD,MCPT_P_NTV,MCPT_P_TTV,MCPT_P_CTVP,MCPT_P_CTVNP,MCPT_P_DD,MCPT_P_STRP,MCPT_P_STRNP,MCPT_P_YOT,MCPT_P_CIN,MCPT_P_DISP,MCPT_P_DISNP,MCPT_P_SEM,MCPT_P_PAID_SOCIAL,MCPT_P_DCI,MCPT_P_DRD,nMCPT_P_NTV,nMCPT_P_TTV,nMCPT_P_CTVP,nMCPT_P_CTVNP,nMCPT_P_DD,nMCPT_P_STRP,nMCPT_P_STRNP,nMCPT_P_YOT,nMCPT_P_CIN,nMCPT_P_DISP,nMCPT_P_DISNP,nMCPT_P_SEM,nMCPT_P_PAID_SOCIAL,nMCPT_P_DCI,nMCPT_P_DRD,nMTIncT_P_NTV,nMTIncT_P_TTV,nMTIncT_P_CTVP,nMTIncT_P_CTVNP,nMTIncT_P_DD,nMTIncT_P_STRP,nMTIncT_P_STRNP,nMTIncT_P_YOT,nMTIncT_P_CIN,nMTIncT_P_DISP,nMTIncT_P_DISNP,nMTIncT_P_SEM,nMTIncT_P_PAID_SOCIAL,nMTIncT_P_DCI,nMTIncT_P_DRD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,34285.76023,8371.50106,1888.728847,5288.366719,14006.11207,12150.03467,30495.77263,10992.74903,6576.64985,28008.637,2097.545136,29598.16827,27598.85749,3699.742,5693.129,103378.1445,32756.43934,3813.905138,23187.91012,45411.61579,60914.27761,178529.9028,91029.43606,29998.61866,278085.7252,16393.36378,302372.1336,155694.2925,9468.120305,23061.96982,0.331653856,0.255568103,0.495221768,0.22806569,0.308425759,0.199461196,0.170816049,0.120760377,0.219231756,0.100719435,0.127950869,0.097886561,0.177263129,0.390757815,0.246862217,1.446762735,1.159105109,1.886960449,1.094715392,1.344342537,0.948557173,0.925896789,0.678219473,1.065225548,0.646832811,0.644567665,0.658289467,0.933324275,1.573539045,1.069131707,1.446762735,1.159105109,1.886960449,1.094715392,1.344342537,0.948557173,0.925896789,0.678219473,1.065225548,0.646832811,0.644567665,0.658289467,0.933324275,1.573539045,1.069131707,23.69826054,7.222383022,1.000937167,4.830814254,10.41855902,12.808964,32.93647087,16.20824742,6.173950541,43.30120015,3.254189201,44.96223886,29.57049143,2.351223512,5.325002489
0.5,0.2,68571.52047,16743.00212,3777.457693,10576.73344,28012.22413,24300.06935,60991.54527,21985.49805,13153.2997,56017.274,4195.090272,59196.33653,55197.71498,7399.484,11386.258,127076.405,39978.82237,4814.842305,28018.72438,55830.17481,73723.24161,211466.3736,107237.6835,36172.5692,321386.9253,19647.55298,347334.3724,185264.7839,11819.34382,28386.97231,0.539608596,0.418796781,0.784544426,0.377488043,0.501739861,0.329612057,0.288421957,0.205016533,0.363626361,0.174298547,0.213517188,0.170430401,0.297939597,0.62604863,0.401108575,2.095873696,1.69316697,2.621547751,1.608202513,1.945131579,1.390932333,1.384351302,1.016463078,1.571516481,0.985507922,0.953052712,1.008800923,1.387520509,2.259411912,1.540225101,2.095873696,1.69316697,2.621547751,1.608202513,1.945131579,1.390932333,1.384351302,1.016463078,1.571516481,0.985507922,0.953052712,1.008800923,1.387520509,2.259411912,1.540225101,32.7173916,9.888571191,1.440926526,6.576742266,14.40119755,17.47034616,44.05785234,21.62941136,8.3698134,56.84101845,4.401740031,58.67989927,39.78154891,3.274960162,7.392593454
0.333333333,0.3,102857.2807,25114.50318,5666.18654,15865.10016,42018.3362,36450.10402,91487.3179,32978.24708,19729.94955,84025.911,6292.635408,88794.5048,82796.57247,11099.226,17079.387,143435.1008,44923.10796,5535.305568,31307.09551,63030.77358,82458.41469,233495.2998,118052.3892,40357.4759,349807.4346,21848.42299,376674.3221,205155.5583,13456.8239,32083.26904,0.71709979,0.559055335,1.02364476,0.506757331,0.666632088,0.44204226,0.391816529,0.279352644,0.488879671,0.24020619,0.288013254,0.235732832,0.403579475,0.824802798,0.532345597,2.659254023,2.160050336,3.234057247,2.058814529,2.465692587,1.778525438,1.79238682,1.317844696,2.017568373,1.291293867,1.225125163,1.326790181,1.789713499,2.851166315,1.946817204,2.659254023,2.160050336,3.234057247,2.058814529,2.465692587,1.778525438,1.79238682,1.317844696,2.017568373,1.291293867,1.225125163,1.326790181,1.789713499,2.851166315,1.946817204,38.67899787,11.62681386,1.752036562,7.705939478,17.04119014,20.49456434,51.04217286,25.02438048,9.77907357,65.07109895,5.136320433,66.92430053,46.26247303,3.892872171,8.772979285
0.25,0.4,137143.0409,33486.00424,7554.915386,21153.46687,56024.44826,48600.1387,121983.0905,43970.9961,26306.5994,112034.548,8390.180544,118392.6731,110395.43,14798.968,22772.516,156328.1001,48798.71258,6119.317755,33875.742,68711.17029,89289.93614,250509.3574,126393.8493,43617.16709,371497.8009,23560.5298,398982.4222,220576.3827,14754.44796,35007.59547,0.877276963,0.686206715,1.234600929,0.624442909,0.815361578,0.544295817,0.486940256,0.347888733,0.603124897,0.301575266,0.356111709,0.296736564,0.500486175,1.003017398,0.650502147,3.172221144,2.587338066,3.776046605,2.472282724,2.93905947,2.133769993,2.170513919,1.597321545,2.428010861,1.577508272,1.47564502,1.625435325,2.161069915,3.387788519,2.315537162,3.172221144,2.587338066,3.776046605,2.472282724,2.93905947,2.133769993,2.170513919,1.597321545,2.428010861,1.577508272,1.47564502,1.625435325,2.161069915,3.387788519,2.315537162,43.23249695,12.94226088,2.000747389,8.556249116,19.06203288,22.776653,56.20009597,27.52795531,10.83463004,71.01994328,5.6857716,72.83751697,51.08369201,4.368326983,9.834657967
0.2,0.5,171428.8012,41857.5053,9443.644233,26441.83359,70030.56033,60750.17337,152478.8632,54963.74513,32883.24925,140043.185,10487.72568,147990.8413,137994.2875,18498.71,28465.645,167136.2243,52034.2778,6619.504603,36014.80428,73476.67852,94984.09939,264559.3814,133275.8381,46325.8246,389252.7867,24981.9727,417191.8015,233347.3057,15846.5297,37466.25996,1.025683103,0.804421759,1.426639122,0.734193455,0.953099157,0.639582559,0.576350241,0.412405924,0.709825449,0.359774393,0.41981175,0.354730943,0.591368677,1.167366632,0.759767456,3.650070021,2.986968419,4.26975542,2.859747861,3.379549283,2.466381313,2.5275882,1.861355712,2.813497015,1.849869704,1.711043027,1.910376065,2.510746552,3.886142117,2.657923598,3.650070021,2.986968419,4.26975542,2.859747861,3.379549283,2.466381313,2.5275882,1.861355712,2.813497015,1.849869704,1.711043027,1.910376065,2.510746552,3.886142117,2.657923598,46.96589386,14.0133739,2.211752971,9.246211512,20.72186392,24.6312981,60.3258328,29.52887768,11.68767874,75.70435079,6.12943422,77.4668632,54.96145652,4.760173314,10.70973034
0.166666667,0.6,205714.5614,50229.00636,11332.37308,31730.20031,84036.6724,72900.20804,182974.6358,65956.49415,39459.8991,168051.822,12585.27082,177589.0096,165593.1449,22198.452,34158.774,176529.4031,54836.95258,7061.855197,37864.04659,77621.0513,99910.35901,276624.548,139181.6137,48663.36035,404393.6569,26207.85955,432685.1741,244339.597,16798.56436,39608.20603,1.165327463,0.915970053,1.60473031,0.838003414,1.082653108,0.729656151,0.661454803,0.473887983,0.810874934,0.415564931,0.480209793,0.4104347,0.677717189,1.321449352,0.862416591,4.101324498,3.365601898,4.727459468,3.227433688,3.795143593,2.781785811,2.868565514,2.113567373,3.179979012,2.111581208,1.934915155,2.184768883,2.843868458,4.355603443,2.98040292,4.101324498,3.365601898,4.727459468,3.227433688,3.795143593,2.781785811,2.868565514,2.113567373,3.179979012,2.111581208,1.934915155,2.184768883,2.843868458,4.355603443,2.98040292,50.15807979,14.9242269,2.397138073,9.831402712,22.14321286,26.2062621,63.78611013,31.20624164,12.4088552,79.58577269,6.504301122,81.28503246,58.22813094,5.096527334,11.4611262
0.142857143,0.7,240000.3216,58600.50742,13221.10193,37018.56703,98042.78446,85050.24272,213470.4084,76949.24318,46036.54895,196060.459,14682.81595,207187.1779,193192.0024,25898.194,39851.903,184889.083,57324.32373,7461.378209,39502.6137,81311.58677,104278.0694,287255.5663,144382.654,50731.50288,417657.9523,27291.90973,446232.6795,254044.2855,17647.98559,41518.39373,1.2980773,1.022262516,1.771938314,0.937116903,1.205766464,0.815610063,0.743137587,0.532953517,0.907454862,0.469428292,0.537991518,0.464303014,0.760465846,1.467487259,0.959861387,4.531385777,3.727465326,5.15685693,3.579295538,4.190900787,3.083431056,3.196604666,2.356266389,3.531241462,2.364689865,2.149549663,2.450631365,3.163700798,4.802099912,3.287043425,4.531385777,3.727465326,5.15685693,3.579295538,4.190900787,3.083431056,3.196604666,2.356266389,3.531241462,2.364689865,2.149549663,2.450631365,3.163700798,4.802099912,3.287043425,52.96400118,15.72127499,2.563790717,10.342417,23.39420317,27.5829883,66.7803594,32.65727658,13.03693034,82.91170098,6.830647462,84.54440796,61.06519383,5.393097702,12.12393566
0.125,0.8,274286.0819,66972.00848,15109.83077,42306.93375,112048.8965,97200.27739,243966.1811,87941.99221,52613.1988,224069.096,16780.36109,236785.3461,220790.8599,29597.936,45545.032,192455.3689,59570.22016,7827.634026,40980.10185,84653.6158,108218.4963,296795.6177,149047.9792,52593.9215,429502.481,28267.71651,458310.4521,262767.8846,18418.42811,43250.38454,1.425193194,1.124253164,1.930319011,1.032377467,1.323616191,0.898185437,0.822000618,0.59002472,1.000366531,0.521694532,0.593622802,0.516648366,0.840250551,1.606974049,1.053054961,4.943961224,4.075464517,5.563178869,3.918056314,4.570293161,3.37368963,3.513887165,2.591049499,3.869891311,2.610613965,2.356523894,2.709362031,3.472497045,5.229691195,3.580634732,4.943961224,4.075464517,5.563178869,3.918056314,4.570293161,3.37368963,3.513887165,2.591049499,3.869891311,2.610613965,2.356523894,2.709362031,3.472497045,5.229691195,3.580634732,55.47901156,16.43297548,2.716042595,10.79793917,24.51678538,28.81126839,69.42914488,33.94068397,13.59552364,85.83003806,7.120810926,87.39524042,63.58273515,5.659595356,12.71982076
0.111111111,0.9,308571.8421,75343.50954,16998.55962,47595.30047,126055.0086,109350.3121,274461.9537,98934.74123,59189.84865,252077.733,18877.90622,266383.5144,248389.7174,33297.678,51238.161,199390.2454,61624.3421,8167.13935,42329.84424,87718.21397,111819.9048,305474.2608,153290.5647,54293.36196,440231.2358,29157.81788,469234.8571,270715.7265,19125.87753,44840.36213,1.547577423,1.222625784,2.081335813,1.124391108,1.437044861,0.977914552,0.898478166,0.645406594,1.090185734,0.572603015,0.647438924,0.567697626,0.917529693,1.740975176,1.142679465,5.341739962,4.411710387,5.950183914,4.245696556,4.935839376,3.654286711,3.822004767,2.819082772,4.197825955,2.85039178,2.556986602,2.961985317,3.771900272,5.641316101,3.86319823,5.341739962,4.411710387,5.950183914,4.245696556,4.935839376,3.654286711,3.822004767,2.819082772,4.197825955,2.85039178,2.556986602,2.961985317,3.771900272,5.641316101,3.86319823,57.76616688,17.07807243,2.856812473,11.21024544,25.53871773,29.9238458,71.81099198,35.09465639,14.10011975,88.43617034,7.382872561,89.93411036,65.8526736,5.902466269,13.2631457
0.2,1,342857.6023,83715.0106,18887.28847,52883.66719,140061.1207,121500.3467,304957.7263,109927.4903,65766.4985,280086.37,20975.45136,295981.6827,275988.5749,36997.42,56931.29,205808.7084,63521.9057,8484.562958,43575.42707,90555.84927,115144.7766,313453.2599,157189.9709,55860.04193,450057.4769,29978.13705,479227.5361,278032.6902,19781.70712,46314.04499,1.665904252,1.317891988,2.226076765,1.213612137,1.546682205,1.05519634,0.972896968,0.699328905,1.177344238,0.622334667,0.699691623,0.617622445,0.992647932,1.870284489,1.229244606,5.726753435,4.737799872,6.320686559,4.563716306,5.289442077,3.926528531,4.122166677,3.041252712,4.516483353,3.084814571,2.751808877,3.209282458,4.063157745,6.039190691,4.136259446,5.726753435,4.737799872,6.320686559,4.563716306,5.289442077,3.926528531,4.122166677,3.041252712,4.516483353,3.084814571,2.751808877,3.209282458,4.063157745,6.039190691,4.136259446,59.86945418,17.6695962,2.988170397,11.58785158,26.47937507,30.9434519,73.97996012,36.14546395,14.56143937,90.79520455,7.62242303,92.22674743,67.92465177,6.126221525,13.76395527
0.272727273,1.1,377143.3626,92086.51166,20776.01731,58172.03391,154067.2327,133650.3814,335453.499,120920.2393,72343.14835,308095.007,23072.9965,325579.8509,303587.4324,40697.162,62624.419,211795.6538,65288.86532,8783.379998,44734.21223,93203.78678,118239.1218,320851.2559,160804.5173,57316.18587,459136.9974,30740.37936,488450.2108,284825.1554,20394.32927,47690.44051,1.780694532,1.41044742,2.365378398,1.300392496,1.653014733,1.130339768,1.045510942,0.751970413,1.262176596,0.67103067,0.75057618,0.666556885,1.065872963,1.995513628,1.313144067,6.100585003,5.054979346,6.676862622,4.873287551,5.632584191,4.191435354,4.415320327,3.258254393,4.826987663,3.314504194,2.941672058,3.451867842,4.34724602,6.425039388,4.401006312,6.100585003,5.054979346,6.676862622,4.873287551,5.632584191,4.191435354,4.415320327,3.258254393,4.826987663,3.314504194,2.941672058,3.451867842,4.34724602,6.425039388,4.401006312,61.820852,18.21699069,3.11164367,11.93691801,27.3528504,31.88654247,75.97489517,37.11197,14.98722462,92.95357283,7.843497182,94.31990614,69.83442645,6.334149807,14.2295681
0.25,1.2,411429.1228,100458.0127,22664.74616,63460.40062,168073.3448,145800.4161,365949.2716,131912.9883,78919.7982,336103.644,25170.54163,355178.0192,331186.2899,44396.904,68317.548,217415.7312,66944.95538,9066.256695,45819.38659,95690.40954,121137.8983,327758.0646,164178.3328,58678.66083,467587.3222,31453.42456,497024.7477,291173.7396,20970.16107,48984.03761,1.892361332,1.500606164,2.499901218,1.385012008,1.756428315,1.203590438,1.116522555,0.803473796,1.344948863,0.718804014,0.800248049,0.714608318,1.137418128,2.117146542,1.394690012,6.464499857,5.364245986,7.020437491,5.175348863,5.966450601,4.449824027,4.702226476,3.470646289,5.13023967,3.539961412,3.127122348,3.690236551,4.624948694,6.800238034,4.658387211,6.464499857,5.364245986,7.020437491,5.175348863,5.966450601,4.449824027,4.702226476,3.470646289,5.13023967,3.539961412,3.127122348,3.690236551,4.624948694,6.800238034,4.658387211,63.64438579,18.72733148,3.228395123,12.26205272,28.16973709,32.76543414,77.82468017,38.00819136,15.38325756,94.94556717,8.04910676,96.24803568,71.60864083,6.528727932,14.66549364
0.230769231,1.3,445714.883,108829.5138,24553.47501,68748.76734,182079.4569,157950.4508,396445.0442,142905.7373,85496.44804,364112.281,27268.08677,384776.1875,358785.1474,48096.646,74010.677,222719.4301,68505.56634,9335.289622,46841.22432,98037.88764,123868.3512,334243.4546,167345.6821,59960.59896,475499.4528,32124.18345,505045.4174,297141.1264,21514.22173,50206.16208,2.00123933,1.588622934,2.630178173,1.467697917,1.857235618,1.275147762,1.186096657,0.853955331,1.425877151,0.765747003,0.848833615,0.761864526,1.207457048,2.235574523,1.474135324,6.819529653,5.666413872,7.352808088,5.470667163,6.29200743,4.702361833,4.983508302,3.678886136,5.426975821,3.761597534,3.308606489,3.924795484,4.896907227,7.165906968,4.909174827,6.819529653,5.666413872,7.352808088,5.470667163,6.29200743,4.702361833,4.983508302,3.678886136,5.426975821,3.761597534,3.308606489,3.924795484,4.896907227,7.165906968,4.909174827,65.35859593,19.20606511,3.339333043,12.56679767,28.9382139,33.58959952,79.55139637,38.84483837,15.75397622,96.79724577,8.241562381,98.037258,73.26770363,6.711871396,15.0759913
0.214285714,1.4,480000.6433,117201.0148,26442.20385,74037.13406,196085.5689,170100.4854,426940.8169,153898.4864,92073.09789,392120.918,29365.63191,414374.3557,386384.0049,51796.388,79703.806,227747.0144,69982.95596,9592.161395,47807.90106,100263.9041,126452.1665,340362.7928,170333.7466,61172.44329,482945.3948,32758.14979,512586.7449,302777.1036,22030.51953,51365.85372,2.107604548,1.67470798,2.756647096,1.548638037,1.955694531,1.345176521,1.254369825,0.903511427,1.505140108,0.811936344,0.896437439,0.8083985,1.2761335,2.351119678,1.551688529,7.166529928,5.962158859,7.675125148,5.759879679,6.61005582,4.949603081,5.259684809,3.883355355,5.71780834,3.979755988,3.486496005,4.155884596,5.163655511,7.522974086,5.154009425,7.166529928,5.962158859,7.675125148,5.759879679,6.61005582,4.949603081,5.259684809,3.883355355,5.71780834,3.979755988,3.486496005,4.155884596,5.163655511,7.522974086,5.154009425,66.97811188,19.65747938,3.44518211,12.85393761,29.66473722,34.36649013,81.17231971,39.63028677,16.10286537,98.52888448,8.42267763,99.70785909,74.82761079,6.885094566,15.46442768
0.2,1.5,514286.4035,125572.5159,28330.9327,79325.50078,210091.681,182250.5201,457436.5895,164891.2354,98649.74774,420129.555,31463.17704,443972.524,413982.8624,55496.13,85396.935,232531.1652,71387.06163,9838.245831,48726.03946,102382.8139,128906.9158,346160.8156,173164.4813,62322.64796,489983.1722,33359.76962,519708.7349,308121.9329,22522.312,52470.4557,2.211688068,1.759037465,2.879673184,1.627989914,2.052020969,1.413814914,1.321456875,0.952223193,1.582887618,0.857436702,0.943147312,0.854271815,1.343568302,2.464051204,1.627524173,7.506220346,6.252050063,7.988350591,6.043523414,6.92126964,5.192014787,5.531194336,4.08437624,6.003253416,4.194727517,3.661104252,4.383791863,5.425644187,7.872219003,5.393429181,7.506220346,6.252050063,7.988350591,6.043523414,6.92126964,5.192014787,5.531194336,4.08437624,6.003253416,4.194727517,3.661104252,4.383791863,5.425644187,7.872219003,5.393429181,68.51469579,20.08501446,3.546530961,13.12570422,30.35450024,35.10208033,82.70123263,40.37121599,16.43271421,100.1565783,8.593903609,101.2759132,76.30114473,7.049617139,15.83351373
0.1875,1.6,548572.1637,133944.017,30219.66155,84613.8675,224097.7931,194400.5548,487932.3621,175883.9844,105226.3976,448138.192,33560.72218,473570.6923,441581.7198,59195.872,91090.064,237098.8116,72726.0626,10074.68123,49601.08641,104406.4472,131247.0545,351674.2311,175855.8957,63418.16224,496660.2775,33932.69653,526460.4624,313208.6759,22992.28648,53526.02328,2.313685843,1.841760879,2.999565034,1.705887383,2.146398034,1.481180324,1.387455545,1.000159726,1.659247034,0.902303269,0.989037878,0.899537052,1.409864266,2.574597009,1.70179024,7.83921372,6.536572583,8.293298678,6.322056419,7.226222669,5.42999522,5.798411552,4.282224397,6.283751554,4.406761197,3.832698725,4.608764125,5.683258216,8.214304851,5.62789204,7.83921372,6.536572583,8.293298678,6.322056419,7.226222669,5.42999522,5.798411552,4.282224397,6.283751554,4.406761197,3.832698725,4.608764125,5.683258216,8.214304851,5.62789204,69.9779574,20.49147551,3.643865091,13.38391528,31.01174754,35.80123866,84.14931533,41.07304245,16.74579217,101.6933235,8.756420627,102.7543783,77.69869027,7.206437194,16.18546755
