NTV,TTV,CTVP,CTVNP,DD,STRP,STRNP,YOT,CIN,DISP,DISNP,SEM,PAID_SOCIAL,DCI,DRD
0.002188694,0.002860179,0.002800491,0.003815591,0.003012952,0.008540913,0.006379073,0.005778566,0.002622794,0.0064238,0.005660964,0.008666951,0.005757929,0.002371209,0.006388368
0.004710893,0.006159671,0.006123733,0.008176247,0.006551245,0.018382753,0.013586804,0.012283178,0.005624678,0.013567893,0.012112642,0.018245414,0.012271933,0.005153848,0.013864109
0.007619385,0.009966292,0.010080861,0.013161726,0.010710868,0.029726479,0.02173135,0.019607171,0.009060445,0.021514227,0.01946755,0.028831252,0.019642964,0.008419305,0.022618578
0.010975554,0.014358362,0.014808521,0.018863678,0.015606019,0.042804403,0.030935037,0.027856209,0.012992806,0.030354237,0.027854449,0.040530412,0.027985681,0.012251355,0.032877521
0.012662128,0.016566157,0.01767446,0.021571845,0.018359711,0.049344203,0.034957158,0.031371404,0.014870745,0.033766161,0.03175975,0.044793033,0.03167241,0.014377098,0.038518972
0.014617417,0.019115019,0.021163807,0.024677846,0.021621554,0.056896442,0.039504634,0.035340886,0.017020115,0.037567406,0.036222416,0.049503957,0.035853012,0.016871681,0.045158387
0.016885423,0.022057806,0.025421361,0.028241155,0.025488721,0.065619328,0.044646345,0.039825059,0.019480147,0.041803184,0.041323102,0.054710334,0.040594749,0.019799101,0.052975708
0.019517502,0.025455587,0.030626649,0.032330253,0.03007749,0.075695956,0.050460227,0.044892626,0.022295745,0.046524067,0.047154256,0.06046427,0.045974196,0.02323446,0.062183693
0.022573608,0.029378916,0.037002375,0.037024006,0.035527085,0.084261174,0.057034473,0.050621774,0.0255183,0.05178663,0.053821859,0.066823352,0.052078549,0.027265891,0.073033949
0.025811096,0.033837586,0.044208358,0.041896737,0.041794991,0.091020871,0.064082425,0.056549983,0.029206633,0.05676064,0.060753029,0.069325715,0.058438558,0.03199682,0.085195767
0.029319355,0.038927526,0.052602762,0.047065626,0.046006168,0.089087799,0.067267243,0.062792079,0.033428066,0.060469946,0.068103953,0.068151567,0.061912322,0.037548616,0.089571562
0.033197119,0.044758284,0.062618094,0.05265644,0.048450675,0.079670943,0.066677946,0.06646476,0.038259652,0.061696056,0.076041405,0.063424236,0.062733194,0.044063709,0.086817483
0.037555033,0.051455361,0.074781929,0.058806315,0.04930976,0.066530045,0.062341376,0.06616094,0.043789579,0.060546551,0.077860517,0.055214005,0.061070791,0.051709241,0.077283492
0.042831233,0.055347268,0.090359066,0.066183336,0.048879816,0.050485525,0.054609639,0.062512644,0.050118784,0.056770362,0.07473177,0.048066583,0.057367631,0.060681357,0.061674302
0.049161742,0.056359021,0.095741309,0.069158416,0.050237637,0.038670848,0.047836961,0.055515143,0.057362791,0.051459859,0.066928093,0.041844391,0.054941058,0.071210232,0.049262507
0.05619448,0.054369808,0.092156212,0.067910023,0.052716246,0.029902206,0.041904361,0.048105549,0.061108325,0.045900526,0.054566949,0.036427658,0.051527634,0.07603443,0.039387128
0.059853182,0.049209043,0.080144949,0.062509783,0.053196846,0.023339236,0.036707619,0.041690464,0.061382831,0.040005899,0.044510494,0.031712118,0.047055891,0.075404032,0.031524626
0.060085576,0.044538833,0.059654057,0.052926747,0.051519273,0.018383336,0.032155446,0.036135538,0.058155201,0.03489815,0.036326133,0.027607002,0.041670791,0.069408387,0.025260217
0.056769382,0.040312457,0.044474891,0.04481502,0.047505375,0.01460643,0.028167883,0.031324708,0.051334639,0.030467356,0.029662853,0.024033291,0.035253313,0.057981828,0.02026519
0.050221814,0.036487657,0.033220842,0.037948423,0.04148603,0.01170099,0.024674888,0.027157684,0.045314006,0.026619742,0.024235787,0.020922195,0.029831879,0.0484364,0.016278968
0.044433144,0.03302621,0.024868542,0.032135584,0.036281094,0.009444947,0.021615112,0.023547791,0.039999486,0.023275187,0.019813705,0.018213829,0.025250898,0.040462416,0.013094914
0.039314897,0.029893538,0.018662542,0.027214574,0.031769777,0.007677001,0.018934817,0.020420101,0.035308263,0.020365125,0.016208879,0.015856059,0.021379209,0.033801173,0.010549106
0.034788985,0.027058361,0.014045026,0.023048379,0.027851273,0.006279229,0.016586931,0.017709833,0.031167237,0.017830794,0.013268863,0.013803501,0.018106234,0.028236556,0.00851146
0.030786475,0.024492383,0.010603985,0.019521057,0.024441076,0.005164798,0.014530222,0.015360968,0.027511879,0.015621758,0.010869838,0.012016646,0.015338734,0.02358803,0.006878693
0.027246509,0.022170004,0.008034995,0.016534497,0.021468044,0.004269272,0.012728574,0.013325051,0.024285229,0.013694663,0.008911205,0.010461098,0.012998071,0.019704782,0.005568767
0.024115351,0.020068064,0.006113028,0.014005673,0.018872043,0.003544432,0.011150351,0.011560166,0.021437007,0.012012198,0.007311214,0.009106914,0.011017919,0.016460824,0.004516484
0.021345545,0.01816561,0.004671664,0.011864324,0.016602039,0.00295388,0.009767841,0.010030044,0.01892283,0.010542205,0.006003412,0.00792803,0.009342319,0.013750913,0.003670001
