NTV,TTV,CTVP,CTVNP,DD,STRP,STRNP,YOT,CIN,DISP,DISNP,SEM,PAID_SOCIAL,DCI,DRD
0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029
0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144
0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192
0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222
0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256
0.0295,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295
0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034
0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391
0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
0.0517,0.0517,0.0517,0.0517,0.0517,0.0517,0.0517,0.0517,0.0517,0.0517,0.0517,0.0517,0.0517,0.0517,0.0517
0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556
0.0566,0.0566,0.0566,0.0566,0.0566,0.0566,0.0566,0.0566,0.0566,0.0566,0.0566,0.0566,0.0566,0.0566,0.0566
0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546
0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494
0.0448,0.0448,0.0448,0.0448,0.0448,0.0448,0.0448,0.0448,0.0448,0.0448,0.0448,0.0448,0.0448,0.0448,0.0448
0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405
