Pct_Delta,PCT_Change,M_P_NTV,M_P_FABING,M_P_STR,M_P_SNP,M_P_TIK,M_P_DIS_BAN,M_P_TWT,M_P_RAD,M_P_DIS_AFF,M_P_CEM,M_P_SEM,TlncT_P_NTV,TlncT_P_FABING,TlncT_P_STR,TlncT_P_SNP,TlncT_P_TIK,TlncT_P_DIS_BAN,TlncT_P_TWT,TlncT_P_RAD,TlncT_P_DIS_AFF,TlncT_P_CEM,TlncT_P_SEM,CPT_P_NTV,CPT_P_FABING,CPT_P_STR,CPT_P_SNP,CPT_P_TIK,CPT_P_DIS_BAN,CPT_P_TWT,CPT_P_RAD,CPT_P_DIS_AFF,CPT_P_CEM,CPT_P_SEM,MCPT_P_NTV,MCPT_P_FABING,MCPT_P_STR,MCPT_P_SNP,MCPT_P_TIK,MCPT_P_DIS_BAN,MCPT_P_TWT,MCPT_P_RAD,MCPT_P_DIS_AFF,MCPT_P_CEM,MCPT_P_SEM,nMCPT_P_NTV,nMCPT_P_FABING,nMCPT_P_STR,nMCPT_P_SNP,nMCPT_P_TIK,nMCPT_P_DIS_BAN,nMCPT_P_TWT,nMCPT_P_RAD,nMCPT_P_DIS_AFF,nMCPT_P_CEM,nMCPT_P_SEM,nMTIncT_P_NTV,nMTIncT_P_FABING,nMTIncT_P_STR,nMTIncT_P_SNP,nMTIncT_P_TIK,nMTIncT_P_DIS_BAN,nMTIncT_P_TWT,nMTIncT_P_RAD,nMTIncT_P_DIS_AFF,nMTIncT_P_CEM,nMTIncT_P_SEM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,5162.67483,2407.03897,2004.929084,419.8543406,374.12414,372.9058214,346.6559799,240.957,70.886,12.823222,978.08474,50333.62574,13047.54824,7811.626623,3944.779127,2391.082478,2011.794664,1315.970161,395.5219179,214.8838906,11.32316655,5054.588352,0.102569103,0.18448209,0.256659615,0.106432915,0.15646643,0.185359782,0.263422371,0.609212762,0.329880475,1.132476675,0.193504331,0.496456718,0.544546858,0.739155521,0.361819469,0.459072923,0.473517493,0.701446173,1.341959565,0.652909647,1.66102755,0.515267068,0.377841194,0.437626075,0.595989805,0.285655536,0.369257919,0.388425174,0.571861144,1.126904999,0.558579035,1.509179979,0.420076731,2732.722062,1100.043671,672.8065037,293.958483,202.6356759,192.0090903,121.2378157,42.76438566,25.38083085,1.699362856,465.6695641
0.5,0.2,10325.34966,4814.07794,4009.858169,839.7086812,748.24828,745.8116428,693.3119598,481.914,141.772,25.646444,1956.16948,60732.6689,17467.80875,10524.08568,5105.176444,3206.038276,2799.317463,1810.171988,575.0779986,323.4532774,19.04322032,6952.797651,0.170013106,0.275597129,0.381017249,0.164481814,0.233387195,0.266426246,0.383008888,0.83799763,0.438307508,1.346749319,0.28134998,0.731745271,0.740427012,1.000191473,0.504988127,0.623395449,0.624853695,0.933979255,1.7118029,0.810888995,1.894679137,0.686080802,0.626002276,0.653729376,0.884760913,0.441307456,0.550685641,0.558255749,0.831470387,1.550104952,0.74217604,1.794727569,0.610780021,3298.821762,1472.804532,906.4275126,380.5549483,271.7515128,267.1935376,166.7676855,62.17824147,38.20441308,2.857976268,640.5479589
0.333333333,0.3,15488.02449,7221.11691,6014.787253,1259.563022,1122.37242,1118.717464,1039.96794,722.871,212.658,38.469666,2934.25422,67787.95854,20718.68821,12528.63094,5936.590725,3806.177627,3396.106479,2181.332244,715.8401156,410.8709147,25.81123805,8378.409238,0.228477518,0.348531569,0.480083361,0.212169422,0.294881776,0.329411775,0.476758157,1.009821864,0.517578618,1.490423122,0.350216149,0.938843026,0.902428567,1.215277463,0.625801961,0.75914981,0.747130803,1.123190676,2.002842886,0.932635926,2.063099422,0.825071386,0.841022987,0.826704119,1.114802531,0.569138969,0.695706175,0.690199455,1.034989791,1.867940691,0.876403989,1.986192551,0.760280939,3683.139396,1746.965268,1079.076713,442.6205513,322.6570238,324.1722246,200.9619705,77.3976394,48.52967412,3.873709623,771.8868296
0.25,0.4,20650.69932,9628.15588,8019.716338,1679.417362,1496.49656,1491.623286,1386.62392,963.828,283.544,51.292888,3912.33896,73286.93407,23385.97852,14178.40159,6607.496805,4298.997535,3895.223661,2489.967267,836.1476053,486.8769938,32.0267514,9563.863922,0.281778732,0.411706351,0.565629086,0.254168471,0.34810361,0.382936492,0.556884397,1.152700784,0.582372968,1.601563872,0.409075139,1.129273871,1.045063691,1.404160349,0.733675328,0.878583818,0.85305229,1.287902365,2.250350069,1.03467226,2.197812805,0.946065003,1.036990721,0.976527603,1.31344843,0.681699556,0.821204692,0.80232001,1.208935091,2.132234184,0.986118775,2.134302795,0.888057365,3982.812747,1971.916789,1221.16958,492.714818,364.463714,371.8275168,229.3959253,90.40545428,57.50706853,4.806523998,881.100504
0.2,0.5,25813.37415,12035.19485,10024.64542,2099.271703,1870.6207,1864.529107,1733.2799,1204.785,354.43,64.11611,4890.4237,77858.61058,25689.22472,15606.25068,7179.758573,4724.823885,4332.366643,2759.130512,943.2229459,555.387577,37.86128925,10597.7091,0.331541675,0.468491945,0.642348097,0.292387506,0.395913318,0.430371956,0.628197866,1.277306712,0.638166957,1.693447615,0.461460459,1.308024368,1.174546127,1.575283696,0.832664688,0.986939917,0.948007452,1.436123007,2.469102304,1.12384506,2.311379248,1.054944655,1.219902936,1.111195445,1.491597797,0.784114089,0.933932748,0.901682268,1.36374883,2.362726801,1.080593456,2.256750442,1.001780163,4232.037384,2166.170659,1344.148596,535.4505762,400.5900219,413.5667681,254.1934206,101.9825906,65.59913871,5.682162174,976.3466841
0.166666667,0.6,30976.04898,14442.23382,12029.57451,2519.126044,2244.74484,2237.434928,2079.935879,1445.742,425.316,76.939332,5868.50844,81805.53616,27738.56013,16878.99228,7683.988363,5103.898774,4725.724122,3000.513721,1040.811855,618.4621079,43.40915511,11524.85228,0.378654678,0.520655497,0.712695065,0.32784095,0.439809828,0.473458643,0.693193257,1.389052203,0.687699367,1.772421781,0.509204656,1.477881032,1.294280755,1.733267279,0.925009917,1.08708965,1.034921002,1.572211825,2.667025084,1.20379059,2.41025076,1.154912534,1.393038136,1.23489967,1.654950633,0.879106204,1.037427803,0.991933146,1.504846712,2.569430534,1.164465548,2.361994314,1.105427591,4447.265036,2339.01331,1453.76838,573.1107415,432.7520112,451.1261546,276.4315943,112.5340406,73.04913413,6.514777072,1061.762613
0.142857143,0.7,36138.72381,16849.27279,14034.50359,2938.980384,2618.86898,2610.34075,2426.591859,1686.699,496.202,89.762554,6846.59318,85298.83144,29598.31039,18035.72622,8137.880081,5448.050832,5086.047104,3221.003082,1131.158587,677.3477651,48.72944053,12371.74302,0.423671968,0.569264683,0.778150179,0.361148156,0.480698338,0.513235662,0.753365271,1.491125135,0.732566084,1.842060016,0.553405706,1.640615686,1.406389559,1.880986254,1.012117054,1.180821967,1.115599825,1.698869135,2.848964283,1.276713478,2.498231241,1.247952234,1.558441644,1.350172969,1.806944084,0.968338655,1.133825995,1.075249895,1.63547357,2.758242234,1.240437331,2.454796781,1.201383234,4637.802633,2495.868777,1553.396557,607.014988,461.9525378,485.5319236,296.7448577,122.3024562,80.00436423,7.313237061,1139.785039
0.125,0.8,41301.39864,19256.31176,16039.43268,3358.834725,2992.99312,2983.246571,2773.247839,1927.656,567.088,102.585776,7824.67792,88445.62253,31309.81269,19101.61869,8552.707931,5764.884487,5420.311965,3425.054102,1215.735639,732.8700113,53.86236089,13155.49477,0.466969393,0.615024815,0.839689711,0.392721785,0.519176599,0.550382817,0.809694608,1.585588132,0.773790701,1.904591152,0.594784009,1.797448797,1.512306943,2.020381753,1.094942759,1.269345755,1.19125589,1.817910453,3.018140931,1.344068453,2.577771237,1.335397391,1.717500425,1.458688432,1.949845153,1.052919207,1.224537864,1.153056884,1.757758398,2.932977286,1.310242028,2.538128069,1.291211003,4809.477545,2640.222729,1645.200661,638.004265,488.8363533,517.4500256,315.5436882,131.4470459,86.56232786,8.083577599,1211.990589
0.111111111,0.9,46464.07347,21663.35073,18044.36176,3778.689065,3367.11726,3356.152392,3119.903819,2168.613,637.974,115.408998,8802.76266,91317.84612,32901.44657,20093.9703,8936.156597,6059.622259,5733.347833,3615.743351,1295.571871,785.6098847,58.83689929,13887.92449,0.508817011,0.658431558,0.897998827,0.422853944,0.555664547,0.585373937,0.862866502,1.673865456,0.812074813,1.961507139,0.633842923,1.949268621,1.613058982,2.152840798,1.174175393,1.353525517,1.262750187,1.930628235,3.176825014,1.406874149,2.650551133,1.418197417,1.871211012,1.561621821,2.085244868,1.133631959,1.310554315,1.226346886,1.873188762,3.09627025,1.375067635,2.613976402,1.376003632,4966.203508,2774.468241,1730.670775,666.651824,513.8462743,547.3414467,333.1115243,140.0790516,92.79165385,8.830148423,1279.46794
