Month,NTV,STR,BAN,RAD,AFF,CEM,SEM,Total_Social
Oct,1041487.15,399685.7943,43358.21724,0,13235.2,1486.4564,122030.073,468701.2538
Nov,45282.05,0,21120.66201,0,0,659.1442,54978.429,145873.6787
Dec,0,0,12901.2243,0,0,74.14,69632.002,114179.0981
Jan,0,396579.2149,43660.0149,0,13555.3,1403.9124,52682.696,445363.2303
Feb,1052885.507,0,17347.94703,0,0,891.242,51715.389,84664.25667
Mar,974163.6929,476116.2961,46989.07337,0,10590.8,730.6134,76460.23,514596.0737
Apr,0,0.016247,33743.19641,0,1425.6,897.6968,58128.609,161270.7677
May,813585.85,257823.2027,46537.38875,0,12890.9,896.973,94243.523,500225.4144
Jun,116226.55,0,51675.23271,0,0,2698.6234,156297.262,285498.4771
Jul,0,0,27721.42362,0,382.8,118.3974,106146.557,208516.4157
Aug,0,0,16580.69891,0,1342,1918.8334,86310.884,210638.9839
Sep,1635311.513,675217.4686,48561.32429,265052.7,24552,2329.5118,147267.56,762913.1236
