,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
Local TV,875498.7422,875498.7422,875498.7422,493854.5194,493854.5194,493854.5194,734740.6765,734740.6765,734740.6765,406612.0179,406612.0179,406612.0179
Streaming,224411.0213,224411.0213,224411.0213,505664.7199,505664.7199,505664.7199,290020.9004,290020.9004,290020.9004,339517.539,339517.539,339517.539
YouTube,238934.8302,238934.8302,238934.8302,244877.6789,244877.6789,244877.6789,267687.682,267687.682,267687.682,292149.2232,292149.2232,292149.2232
Cinema,67162.02952,67162.02952,67162.02952,0,0,0,0,0,0,0,0,0
Display,531162.4221,531162.4221,531162.4221,938244.261,938244.261,938244.261,788808.1818,788808.1818,788808.1818,804484.2863,804484.2863,804484.2863
Paid Search,306846.1228,306846.1228,306846.1228,364722.8227,364722.8227,364722.8227,299230.0067,299230.0067,299230.0067,401344.8926,401344.8926,401344.8926
Facebook,168430.1392,150244.5272,125454.9593,207114.2099,211457.8545,209662.4493,243654.0227,211131.5762,187374.1739,232238.0911,204074.3267,243402.0064
Snapchat,55463.87497,47536.56947,39590.01909,59227.77055,72165.07741,78136.76888,78178.18484,94784.29837,70465.0275,88252.98226,107283.2298,76374.12806
Twitter,64769.60557,89888.77062,111359.6262,51177.83937,29126.82951,28217.51098,48078.31868,43171.1851,42411.50823,33662.72891,36167.7633,38552.36588
Pinterest,31763.55041,33794.80998,45060.07259,39311.46807,44081.52652,40814.55881,38028.95504,45956.14132,41011.23715,27352.14283,30247.80603,41684.56634
Tiktok,1037.507123,0,0,0,0,0,0,12896.28025,66677.53458,44832.47193,48565.29116,26325.35031
DCI,0,0,0,0,0,0,0,0,0,0,0,0
Digital Radio,43774.3489,43774.3489,43774.3489,126756.406,126756.406,126756.406,147033.3834,147033.3834,147033.3834,123955.0669,123955.0669,123955.0669
Local Radio,119756.3428,119756.3428,119756.3428,119896.611,119896.611,119896.611,216510.4368,216510.4368,216510.4368,196729.5153,196729.5153,196729.5153
Out of Home,337656.1295,337656.1295,337656.1295,249151.6932,249151.6932,249151.6932,281362.5844,281362.5844,281362.5844,375535.7085,375535.7085,375535.7085
