,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
Local TV,360025.2659,360025.2659,360025.2659,219730.7547,219730.7547,219730.7547,307852.6102,307852.6102,307852.6102,177106.3824,177106.3824,177106.3824
Streaming,1033776.172,1033776.172,1033776.172,1235587.652,1235587.652,1235587.652,1195240.887,1195240.887,1195240.887,1160946.548,1160946.548,1160946.548
YouTube,98255.51044,98255.51044,98255.51044,108953.4571,108953.4571,108953.4571,112159.7786,112159.7786,112159.7786,127250.2774,127250.2774,127250.2774
Cinema,27618.57484,27618.57484,27618.57484,0,0,0,0,0,0,0,0,0
Display,1082515.683,1082515.683,1082515.683,1294088.52,1294088.52,1294088.52,1251567.129,1251567.129,1251567.129,1237602.817,1237602.817,1237602.817
Paid Search,126182.1995,126182.1995,126182.1995,162276.1723,162276.1723,162276.1723,125375.8524,125375.8524,125375.8524,174812.2016,174812.2016,174812.2016
Facebook,69262.3561,61784.0132,51589.97144,92151.35202,94083.97036,93285.14047,102089.7975,88463.05769,78508.82678,101155.0234,88887.84437,106017.6457
Snapchat,22808.02401,19548.13324,16280.32853,26352.21955,32108.41715,34765.40261,32756.26222,39714.13941,29524.48849,38440.00113,46728.9305,33265.97576
Twitter,26634.75496,36964.33471,45793.6455,22770.56264,12959.40399,12554.82078,20144.57124,18088.5072,17770.20645,14662.3412,15753.44908,16792.10096
Pinterest,13061.90418,13897.20495,18529.74063,17490.85653,19613.19925,18159.62689,15933.93894,19255.38971,17183.49999,11913.66427,13174.91679,18156.38108
Tiktok,426.6468471,0,0,0,0,0,0,5403.475899,27937.5482,19527.50182,21153.39107,11466.42833
DCI,0,0,0,0,0,0,0,0,0,0,0,0
Digital Radio,18001.02141,18001.02141,18001.02141,56397.74398,56397.74398,56397.74398,61606.24057,61606.24057,61606.24057,53990.61642,53990.61642,53990.61642
Local Radio,49246.56895,49246.56895,49246.56895,53345.6145,53345.6145,53345.6145,90716.77292,90716.77292,90716.77292,85688.69399,85688.69399,85688.69399
Out of Home,138851.9845,138851.9845,138851.9845,110855.0948,110855.0948,110855.0948,117889.4933,117889.4933,117889.4933,163570.5977,163570.5977,163570.5977
