Media,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
NTV,3072508.395,4648345.304,680665.6954,4401790.355,3141834.37,1912579.269,4474859.971,3994128.131,1790898.929,2523367.225,1651099.202,1993683.387
TTV,967480.8459,1322422.131,38510.97442,1127007.48,706491.4909,1262482.213,350080.6711,1538724.626,1058300.628,0,0,0
CTVP,109825.1819,156820.905,124374.7632,171887.4184,169106.6529,217015.7448,165428.8696,172894.9119,224139.8519,116189.9917,114932.4116,146112.1437
CTVNP,364569.534,494746.5474,286042.4148,537527.8206,560024.3089,419165.4076,608062.1266,434388.4416,551451.8827,320199.483,308144.9062,404043.8452
DD,534860.8106,993262.7864,718109.0409,1360720.76,1363586.376,1148483.507,1618181.37,1707510.242,1406098.468,942142.8498,1198299.604,1014856.25
STRP,756739.5181,972158.761,1150914.28,1043256.458,1139300.646,1342031.354,1008877.937,980240.3323,1432957.459,739052.906,698114.2986,886390.7246
STRNP,1719410.32,2489502.951,1490669.657,3143201.236,2973761.928,3025543.757,3148411.678,2813910.505,3394647.015,3309396.945,1341973.955,1645342.685
YOT,750131.2402,964747.3789,1394635.545,997224.3093,966119.2637,1143167.306,1023893.551,866992.3731,1036447.944,608051.389,513346.3895,727992.3363
CIN,235611.0961,490763.6423,718228.2682,505224.7897,476999.362,966717.0745,335457.3786,597553.6167,980511.1051,870524.351,155326.7734,243732.3919
DISP,1773608.588,2228566.081,2217031.793,2481965.883,2651696.117,3027087.662,2448744.149,2454689.719,2997240.646,1684559.722,1749885.902,2293560.739
DISNP,109844.8005,124858.9054,197825.46,196375.892,218028.3762,188758.7742,179040.4149,200153.9882,286617.4304,129230.7751,138079.3748,128730.9444
SEM,1882461.62,2090643.07,2422842.15,2460610.48,2752073.48,3098980.734,2494236.882,2564064.836,3425898.442,1652242.078,1982703.287,2771411.207
PAID_SOCIAL,1760356.044,1946370.351,2003385.542,2534298.151,1889986.663,2605508.832,2934454.602,2394429.809,3306042.07,1821490.003,1735005.977,2667529.447
DCI,0,19689.27518,13102.20759,0,25553.36276,26518.33401,22583.50344,55475.69414,137461.6084,142960.8596,1268309.184,1988087.971
DRD,405654.2683,427747.0625,278671.9157,299071.0694,330849.407,547785.9928,540760.8835,811856.9831,692520.0522,401298.936,407416.7723,549495.6572
