Media,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
National TV,3379759.234,5113179.835,748732.2649,4841969.391,3456017.807,2103837.196,4922345.968,4393540.944,1969988.822,2775703.948,1816209.123,2193051.725
Addressable TV,1064228.931,1454664.344,42362.07186,1239708.229,777140.64,1388730.434,385088.7382,1692597.088,1164130.691,0,0,0
Connected TV (Disney Managed),120807.7001,172502.9955,136812.2395,189076.1602,186017.3182,238717.3193,181971.7565,190184.4031,246553.8371,127808.9909,126425.6528,160723.3581
Connected TV (Agency Placed),401026.4874,544221.2022,314646.6562,591280.6027,616026.7398,461081.9484,668868.3393,477827.2858,606597.071,352219.4313,338959.3968,444448.2297
Data Driven Video,588346.8917,1092589.065,789919.945,1496792.836,1499945.014,1263331.858,1779999.507,1878261.267,1546708.315,1036357.135,1318129.564,1116341.875
Streaming (Disney Managed),832413.4699,1069374.637,1266005.708,1147582.103,1253230.711,1476234.489,1109765.73,1078264.366,1576253.205,812958.1966,767925.7285,975029.7971
Streaming (Agency Placed),1891351.352,2738453.246,1639736.623,3457521.36,3271138.121,3328098.132,3463252.846,3095301.556,3734111.717,3640336.639,1476171.351,1809876.953
YouTube,825144.3643,1061222.117,1534099.099,1096946.74,1062731.19,1257484.036,1126282.906,953691.6104,1140092.739,668856.5279,564681.0284,800791.57
Cinema,259172.2058,539840.0065,790051.0951,555747.2687,524699.2982,1063388.782,369003.1165,657308.9784,1078562.216,957576.7861,170859.4507,268105.6311
Display (Disney Managed),1950969.447,2451422.689,2438734.972,2730162.471,2916865.728,3329796.429,2693618.564,2700158.691,3296964.711,1853015.694,1924874.492,2522916.812
Display (Agency Placed),120829.2806,137344.7959,217608.006,216013.4812,239831.2138,207634.6516,196944.4564,220169.387,315279.1734,142153.8526,151887.3122,141604.0388
Paid Search,2070707.782,2299707.377,2665126.365,2706671.528,3027280.828,3408878.807,2743660.571,2820471.32,3768488.286,1817466.286,2180973.615,3048552.328
Paid Social,1936391.649,2141007.386,2203724.096,2787727.966,2078985.33,2866059.715,3227900.062,2633872.79,3636646.277,2003639.003,1908506.575,2934282.392
Digital Content Integration,0,21658.2027,14412.42835,0,28108.69903,29170.16741,24841.85378,61023.26355,151207.7692,157256.9456,1395140.103,2186896.768
Digital Audio,446219.6952,470521.7687,306539.1073,328978.1764,363934.3477,602564.5921,594836.9718,893042.6814,761772.0575,441428.8296,448158.4496,604445.2229
