Month,NTV,LTV,CTV,TTV,STR,YOT,CIN,DIS,SEM,FAB,SNP,TWT,PIN,TIK,DRD,LRD,OOH
Oct,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Nov,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Dec,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Jan,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Feb,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Mar,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Apr,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
May,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Jun,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Jul,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Aug,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
Sep,126613.6742,156341.3517,32480.83459,22738.50608,50250.31652,32991.80048,29833.83763,122880.8728,208377.2356,74273.9407,19474.69956,4459.513644,9366.715892,3368.384826,15890.17913,43168.15833,0
